1,530553E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
7038,851;InputEnter;Name;x
10004,43;InputEnter;Number;998
10086,82;ButtonClick;WithoutAffectiveLoop
10103,39;Scene;Load;1
10103,39;BackgroundMusic;Start
11349,21;ButtonClick;Next
11498,32;ButtonClick;Next
11630,84;ButtonClick;Next
11763,65;ButtonClick;Next
11912,48;ButtonClick;Next
12045,01;ButtonClick;Next
13420,35;ButtonClick;Play
16733,68;Player;Starting;Health;100
16733,68;Player;Starting;Range;100
16733,68;Player;Starting;TimeBetweenBullets;0,2
16733,68;Player;Starting;DamagerPerShot;15
16733,68;Player;Starting;SuperPower;100
17714,55;Alert;Lvl0Index;0
24225,24;Alert;Lvl0Index;1
30735,95;Alert;Lvl0Index;2
30735,95;Scene;Load;2
37247;Alert;Lvl0Index;3
43757,38;Alert;Lvl0Index;4
50267,56;Alert;Lvl0Index;5
56778,26;Alert;Lvl0Index;6
63289,89;Alert;Lvl0Index;7
69800,29;Alert;Lvl0Index;8
76310,99;Alert;Lvl0Index;9
82822,55;Alert;Lvl0Index;10
89332,59;Alert;Lvl0Index;11
95843,09;Alert;Lvl0Index;12
102353,8;Alert;Lvl0Index;13
108864,5;Alert;Lvl0Index;14
115094,2;Player;Health;DecreaseTo;100
115375,7;Alert;Lvl0Index;15
115995;Player;Health;DecreaseTo;100
115995;Player;Health;DecreaseTo;100
116906,1;Player;Health;DecreaseTo;100
116906,1;Player;Health;DecreaseTo;100
117817,3;Player;Health;DecreaseTo;100
117817,3;Player;Health;DecreaseTo;100
117933,2;Player;Health;DecreaseTo;100
118728,4;Player;Health;DecreaseTo;100
118728,4;Player;Health;DecreaseTo;100
118844,4;Player;Health;DecreaseTo;100
119640;Player;Health;DecreaseTo;100
119640;Player;Health;DecreaseTo;100
119756;Player;Health;DecreaseTo;100
121877,9;Alert;Lvl0Index;16
122987,8;Enemy;DeathBy;Gun
123501,4;TextScore;ChangeTo;POORLY
123633,9;Enemy;DeathBy;Gun
124147,5;TextScore;ChangeTo;DECENTLY
126635,3;Enemy;DeathBy;Gun
127149;TextScore;ChangeTo;GREAT
127701,1;Enemy;DeathBy;Gun
128215;TextScore;ChangeTo;FANTASTIC
134261,5;Enemy;DeathBy;Gun
