1,530551E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
7854,328;InputEnter;Name;MIchał
11250,75;InputEnter;Number;007
11316,76;ButtonClick;Polish
13222,8;ButtonClick;WithoutAffectiveLoop
13240,54;Scene;Load;1
13240,54;BackgroundMusic;Start
16077,38;KeyPress;U
16094,66;Scene;Load;3
16875,85;KeyPress;T
20307,15;Player;Starting;Range;100
20307,15;Player;Starting;TimeBetweenBullets;0,2
20307,15;Player;Starting;DamagerPerShot;15
20307,15;Player;Starting;SuperPower;100
20307,15;Player;Starting;Health;100
20307,15;Scene;Load;4
30283,91;Enemy;0;RegularSpawn;AtSpawnPoint;2
35287,26;Enemy;0;RegularSpawn;AtSpawnPoint;0
38086,71;Enemy;DeathBy;Gun
40290,12;Enemy;0;RegularSpawn;AtSpawnPoint;2
41317,26;Enemy;DeathBy;Gun
46006;Enemy;DeathBy;Gun
50280,19;Enemy;0;RegularSpawn;AtSpawnPoint;1
55250,21;Enemy;DeathBy;Gun
55283,62;Enemy;0;RegularSpawn;AtSpawnPoint;1
59547,27;Enemy;DeathBy;Gun
60292,69;Enemy;0;RegularSpawn;AtSpawnPoint;2
70282,38;Enemy;0;RegularSpawn;AtSpawnPoint;2
75285,52;Enemy;0;RegularSpawn;AtSpawnPoint;1
75318,65;Alert;NonAffectiveSpawn;Activation
77473,99;Enemy;DeathBy;Gun
80289,84;Enemy;0;RegularSpawn;AtSpawnPoint;2
82211,57;Enemy;DeathBy;Gun
85658,04;Enemy;DeathBy;Gun
87281,07;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
90296,71;Enemy;0;RegularSpawn;AtSpawnPoint;1
91472,34;Enemy;DeathBy;Gun
91986,07;TextScore;ChangeTo;KIEPSKO
94288,69;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;0
94918,2;Enemy;DeathBy;Gun
95282,68;Enemy;0;RegularSpawn;AtSpawnPoint;1
100087;Enemy;DeathBy;Gun
100285,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
101297;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;4
105903,1;Enemy;DeathBy;Gun
108288,6;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;2
109564,3;Enemy;DeathBy;Gun
110293,9;Enemy;0;RegularSpawn;AtSpawnPoint;2
110309,8;Alert;Enemy;SpeedChange
110309,8;Enemy;Speed;ChangeTo;3,03
111072,3;Enemy;DeathBy;Gun
112314,6;Enemy;Speed;ChangeTo;3,06
113225,5;Enemy;DeathBy;Gun
114319,4;Enemy;Speed;ChangeTo;3,09
115296,3;Enemy;0;RegularSpawn;AtSpawnPoint;0
115296,3;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;2
116323,4;Enemy;Speed;ChangeTo;3,12
118328;Enemy;Speed;ChangeTo;3,15
119686,7;Enemy;DeathBy;Gun
120282,9;Enemy;0;RegularSpawn;AtSpawnPoint;1
120332,6;Enemy;Speed;ChangeTo;3,18
122280,8;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;5
122347,2;Enemy;Speed;ChangeTo;3,21
124351,6;Enemy;Speed;ChangeTo;3,24
125925,8;Enemy;DeathBy;Gun
126356,2;Enemy;Speed;ChangeTo;3,27
126439;TextScore;ChangeTo;PRZYZWOICIE
126571,6;Enemy;DeathBy;Gun
128361;Enemy;Speed;ChangeTo;3,3
129288,5;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;4
130288,1;Enemy;0;RegularSpawn;AtSpawnPoint;2
130370,4;Enemy;Speed;ChangeTo;3,33
130868,2;Enemy;DeathBy;Gun
132377,2;Enemy;Speed;ChangeTo;3,36
133653,1;Enemy;DeathBy;Gun
134381,8;Enemy;Speed;ChangeTo;3,39
135293;Enemy;0;RegularSpawn;AtSpawnPoint;1
135309,5;Alert;NonAffectiveSpawn;Activation
136237,3;Enemy;DeathBy;Gun
136287;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;1
136386,5;Enemy;Speed;ChangeTo;3,42
138391,5;Enemy;Speed;ChangeTo;3,45
139245,3;Enemy;DeathBy;Gun
140288,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
140404,7;Enemy;Speed;ChangeTo;3,48
141183,4;Enemy;DeathBy;Gun
142409,3;Enemy;Speed;ChangeTo;3,51
143287,3;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;2
143287,3;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;1
144414,1;Enemy;Speed;ChangeTo;3,539999
145906,6;Enemy;DeathBy;Gun
146420,2;Enemy;Speed;ChangeTo;3,569999
147402,7;Enemy;DeathBy;Gun
147916,2;TextScore;ChangeTo;WSPANIALE
148429,8;Enemy;Speed;ChangeTo;3,599999
149987;Enemy;DeathBy;Gun
150285,3;Enemy;0;RegularSpawn;AtSpawnPoint;1
150285,3;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
150285,3;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
150434,7;Enemy;Speed;ChangeTo;3,629999
152439,7;Enemy;Speed;ChangeTo;3,659999
152571,4;Enemy;DeathBy;Gun
154444,8;Enemy;Speed;ChangeTo;3,689999
155289,7;Enemy;0;RegularSpawn;AtSpawnPoint;1
155588;Enemy;DeathBy;Gun
156449,8;Enemy;Speed;ChangeTo;3,719999
157289,8;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
157289,8;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
158450,6;Enemy;Speed;ChangeTo;3,749999
158583,2;Enemy;DeathBy;Gun
158765,4;Player;Health;DecreaseTo;90
159569,1;Player;Health;DecreaseTo;80
160282,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
160465;Enemy;Speed;ChangeTo;3,779999
162473,6;Enemy;Speed;ChangeTo;3,809999
164300;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;3
164300;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;0
164488,6;Enemy;Speed;ChangeTo;3,839999
164554,8;Enemy;DeathBy;Gun
166494,1;Enemy;Speed;ChangeTo;3,869999
168421,9;Enemy;DeathBy;Gun
168505,2;Enemy;Speed;ChangeTo;3,899999
169929,4;Enemy;DeathBy;Gun
170294,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
170443;TextScore;ChangeTo;FANTASTYCZNIE
170509,3;Enemy;Speed;ChangeTo;3,929999
171006,3;Enemy;DeathBy;Gun
171287,9;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
171287,9;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;3
171422;Enemy;DeathBy;Gun
172517,6;Enemy;Speed;ChangeTo;3,959999
174526,2;Enemy;Speed;ChangeTo;3,989999
175288,2;Enemy;0;RegularSpawn;AtSpawnPoint;1
176530,9;Enemy;Speed;ChangeTo;4,019999
178286,8;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;1
178286,8;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;5
178303,4;Enemy;DeathBy;Gun
178535,3;Enemy;Speed;ChangeTo;4,049999
179579,1;Player;Health;IncreaseTo;90
180291,4;Enemy;0;RegularSpawn;AtSpawnPoint;1
180539,9;Enemy;Speed;ChangeTo;4,079999
181955,8;Enemy;DeathBy;Gun
182551,8;Enemy;Speed;ChangeTo;4,11
184556,4;Enemy;Speed;ChangeTo;4,14
185285,3;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;4
185285,3;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;0
185616,8;Enemy;DeathBy;Gun
186561;Enemy;Speed;ChangeTo;4,17
188565,5;Enemy;Speed;ChangeTo;4,2
189481,3;Enemy;DeathBy;Gun
190293,1;Enemy;0;RegularSpawn;AtSpawnPoint;2
190574,9;Enemy;Speed;ChangeTo;4,23
191419,6;Enemy;DeathBy;Gun
192281,1;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;1
192281,1;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;4
192579,3;Enemy;Speed;ChangeTo;4,260001
194434,7;Enemy;DeathBy;Gun
194583,8;Enemy;Speed;ChangeTo;4,290001
194948,4;Enemy;DeathBy;LevelEnd
194948,4;Enemy;DeathBy;LevelEnd
194948,4;Enemy;DeathBy;LevelEnd
194948,4;Enemy;DeathBy;LevelEnd
194948,4;Enemy;DeathBy;LevelEnd
194948,4;Enemy;DeathBy;LevelEnd
194948,4;Enemy;DeathBy;LevelEnd
194948,4;Enemy;DeathBy;LevelEnd
194948,4;Enemy;DeathBy;LevelEnd
195296,7;Enemy;0;RegularSpawn;AtSpawnPoint;0
195312,8;Enemy;DeathBy;LevelEnd
196588,9;Enemy;Speed;ChangeTo;4,320001
197951,2;Scene;Load;5
199147,4;ButtonClick;Next
199594,7;ButtonClick;Next
200108,4;ButtonClick;Next
200588,7;ButtonClick;Next
201085,7;ButtonClick;Next
201980,3;ButtonClick;Play
205293,9;Player;Starting;Range;100
205293,9;Player;Starting;TimeBetweenBullets;0,2
205293,9;Player;Starting;DamagerPerShot;15
205293,9;Player;Starting;SuperPower;100
205293,9;Player;Starting;Health;140
205293,9;Scene;Load;6
215262,9;Enemy;0;RegularSpawn;AtSpawnPoint;0
218610,8;Enemy;DeathBy;Gun
220267,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
225270,9;Enemy;0;RegularSpawn;AtSpawnPoint;0
228269,5;Enemy;0;RegularSpawn;AtSpawnPoint;1
