1,530552E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
6576,049;InputEnter;Name;X
8995,83;InputEnter;Number;999
9078,525;ButtonClick;Polish
9840,571;ButtonClick;Polish
10138,79;ButtonClick;English
12971,67;ButtonClick;WithAffectiveLoop
13222,28;BITalino;StartReading
75974,2;Scene;Load;1
75974,2;BackgroundMusic;Start
94013,02;ButtonClick;Next
94560,01;ButtonClick;Next
94841,78;ButtonClick;Next
94990,23;ButtonClick;Next
95288,44;ButtonClick;Next
95686,04;ButtonClick;Next
98784,01;ButtonClick;Play
102097,9;Player;Starting;Health;100
102097,9;Player;Starting;Range;100
102097,9;Player;Starting;TimeBetweenBullets;0,2
102097,9;Player;Starting;DamagerPerShot;15
102097,9;Player;Starting;SuperPower;100
103079,9;Alert;Lvl0Index;0
109590,7;Alert;Lvl0Index;1
116101,3;Alert;Lvl0Index;2
116101,3;Scene;Load;2
122608,8;Alert;Lvl0Index;3
129119,9;Alert;Lvl0Index;4
135630,8;Alert;Lvl0Index;5
142144,6;Alert;Lvl0Index;6
148648,5;Alert;Lvl0Index;7
155162,3;Alert;Lvl0Index;8
161674;Alert;Lvl0Index;9
165235,8;Enemy;DeathBy;Gun
165754,4;TextScore;ChangeTo;POORLY
168176,2;Alert;Lvl0Index;10
172865,7;Enemy;DeathBy;Gun
173379,1;TextScore;ChangeTo;DECENTLY
174688;Alert;Lvl0Index;11
179980,3;Enemy;DeathBy;Gun
180493,9;TextScore;ChangeTo;GREAT
181190,6;Alert;Lvl0Index;12
185784,4;Enemy;DeathBy;Gun
186297,7;TextScore;ChangeTo;FANTASTIC
187691,2;Alert;Lvl0Index;13
191130,4;Enemy;DeathBy;Gun
194197,1;Alert;Lvl0Index;14
200701;Alert;Lvl0Index;15
207211,4;Alert;Lvl0Index;16
217124,7;Scene;Load;3
218801,2;ButtonClick;Next
219348,3;ButtonClick;Next
219662,7;ButtonClick;Next
220093,6;ButtonClick;Next
221087,4;ButtonClick;Play
224400,7;Player;Starting;Range;100
224400,7;Player;Starting;TimeBetweenBullets;0,2
224400,7;Player;Starting;DamagerPerShot;15
224400,7;Player;Starting;SuperPower;100
224400,7;Player;Starting;Health;100
224400,7;Scene;Load;4
234381,4;Enemy;0;RegularSpawn;AtSpawnPoint;2
239384,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
243811,7;Enemy;DeathBy;Gun
244394;Enemy;0;RegularSpawn;AtSpawnPoint;1
247896,1;Enemy;DeathBy;Gun
254388,7;Enemy;0;RegularSpawn;AtSpawnPoint;0
254538,4;Enemy;DeathBy;Gun
259380,4;Enemy;0;RegularSpawn;AtSpawnPoint;0
264383,7;Enemy;0;RegularSpawn;AtSpawnPoint;1
274391,9;Enemy;0;RegularSpawn;AtSpawnPoint;0
275352,8;Enemy;DeathBy;Gun
279380,4;Enemy;0;RegularSpawn;AtSpawnPoint;1
281154,1;Enemy;DeathBy;Gun
284335,4;Player;Health;DecreaseTo;90
284384,9;Enemy;0;RegularSpawn;AtSpawnPoint;0
284401,5;AffectiveSpawn;SpawnMax;SetTo;5
284467,8;Alert;AffectiveSpawn;Activation
284467,8;AffectiveSpawn;Active;Sum;5
286092,8;Enemy;DeathBy;Gun
287783,9;Enemy;DeathBy;Gun
289412,4;AffectiveSpawn;SpawnMax;SetTo;5
291386,3;Enemy;2;AffectiveSpawn;AtSpawnPoint;3
291634,8;Enemy;DeathBy;Gun
294385,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
294418,4;AffectiveSpawn;SpawnMax;SetTo;5
294435,1;Enemy;DeathBy;Gun
294948,6;TextScore;ChangeTo;POORLY
298394,4;Enemy;0;AffectiveSpawn;AtSpawnPoint;4
299388,7;Enemy;0;RegularSpawn;AtSpawnPoint;1
299421,8;AffectiveSpawn;SpawnMax;SetTo;5
304350,7;Player;Health;IncreaseTo;100
304383,7;Enemy;0;RegularSpawn;AtSpawnPoint;0
304433,4;AffectiveSpawn;SpawnMax;SetTo;5
305396,1;Enemy;1;AffectiveSpawn;AtSpawnPoint;3
305826,8;Enemy;DeathBy;Gun
309042,4;Enemy;DeathBy;Gun
309440;AffectiveSpawn;SpawnMax;SetTo;2
311830,5;Enemy;DeathBy;Gun
312393,8;Enemy;2;AffectiveSpawn;AtSpawnPoint;1
314199,7;Enemy;DeathBy;Gun
314382,2;Enemy;0;RegularSpawn;AtSpawnPoint;1
314398,4;Alert;Enemy;SpeedAdjust
314398,4;Enemy;Speed;ChangeTo;3,041998
314448;AffectiveSpawn;SpawnMax;SetTo;2
316138,9;Enemy;DeathBy;Gun
316404;Enemy;Speed;ChangeTo;3,072878
318408,8;Enemy;Speed;ChangeTo;4,229451
318723,8;Enemy;DeathBy;Gun
319386,4;Enemy;0;RegularSpawn;AtSpawnPoint;2
319386,4;Enemy;1;AffectiveSpawn;AtSpawnPoint;0
319452,3;AffectiveSpawn;SpawnMax;SetTo;2
320414,5;Enemy;Speed;ChangeTo;4,985651
322419,8;Enemy;Speed;ChangeTo;4,977497
322816,6;Enemy;DeathBy;Gun
324392,6;Enemy;0;RegularSpawn;AtSpawnPoint;0
324425,8;Enemy;Speed;ChangeTo;5,716236
324458,8;AffectiveSpawn;SpawnMax;SetTo;5
326381,8;Enemy;2;AffectiveSpawn;AtSpawnPoint;2
326431;Enemy;Speed;ChangeTo;5,378788
328435,5;Enemy;Speed;ChangeTo;5,214424
329248,3;Enemy;DeathBy;Gun
329463,7;AffectiveSpawn;SpawnMax;SetTo;5
329762,6;TextScore;ChangeTo;DECENTLY
330441,9;Enemy;Speed;ChangeTo;5,998595
330541,2;Enemy;DeathBy;Gun
332449,3;Enemy;Speed;ChangeTo;5,823123
333393,6;Enemy;0;AffectiveSpawn;AtSpawnPoint;2
334388,4;Enemy;0;RegularSpawn;AtSpawnPoint;0
334454,8;Enemy;Speed;ChangeTo;5,368055
