1,530554E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
22769,48;InputEnter;Name;Jeremiasz
28103,94;InputEnter;Number;010
28170,21;ButtonClick;Polish
30259,24;ButtonClick;WithAffectiveLoop
30524,38;BITalino;StartReading
93956,36;Scene;Load;1
93956,36;BackgroundMusic;Start
110457,5;ButtonClick;Next
114732;ButtonClick;Next
128034,6;ButtonClick;Next
137013,8;ButtonClick;Next
145512,5;ButtonClick;Next
165293,1;ButtonClick;Next
173261,8;ButtonClick;Play
176575,5;Player;Starting;Health;100
176575,5;Player;Starting;Range;100
176575,5;Player;Starting;TimeBetweenBullets;0,2
176575,5;Player;Starting;DamagerPerShot;15
176575,5;Player;Starting;SuperPower;100
177555,9;Alert;Lvl0Index;0
184066,6;Alert;Lvl0Index;1
190577,6;Alert;Lvl0Index;2
190577,6;Scene;Load;2
197088,6;Alert;Lvl0Index;3
203598,7;Alert;Lvl0Index;4
210109,4;Alert;Lvl0Index;5
216620,5;Alert;Lvl0Index;6
223136,1;Alert;Lvl0Index;7
229643,6;Alert;Lvl0Index;8
236159,3;Alert;Lvl0Index;9
237948,1;Enemy;DeathBy;Gun
238461,8;TextScore;ChangeTo;KIEPSKO
242670,3;Alert;Lvl0Index;10
249171,1;Alert;Lvl0Index;11
253063,7;Player;Health;DecreaseTo;90
255565,8;Enemy;DeathBy;Gun
255681,8;Alert;Lvl0Index;12
256079,8;TextScore;ChangeTo;PRZYZWOICIE
261782;Enemy;DeathBy;Gun
262196,1;Alert;Lvl0Index;13
262295,5;TextScore;ChangeTo;WSPANIALE
266305,2;Enemy;DeathBy;Gun
266818,8;TextScore;ChangeTo;FANTASTYCZNIE
268698,6;Alert;Lvl0Index;14
270172,8;Enemy;DeathBy;Gun
273056,2;Player;Health;IncreaseTo;95
275209,8;Alert;Lvl0Index;15
281721;Alert;Lvl0Index;16
291592,2;Scene;Load;3
293186,2;ButtonClick;Next
293318,5;ButtonClick;Next
293467,6;ButtonClick;Next
295853,2;ButtonClick;Previous
295985,7;ButtonClick;Previous
296118,3;ButtonClick;Previous
304716,3;ButtonClick;Next
316047,9;ButtonClick;Next
325408,1;ButtonClick;Next
330378,3;ButtonClick;Next
341080,2;ButtonClick;Play
344393,5;Player;Starting;Range;100
344393,5;Player;Starting;TimeBetweenBullets;0,2
344393,5;Player;Starting;DamagerPerShot;15
344393,5;Player;Starting;SuperPower;100
344393,5;Player;Starting;Health;100
344393,5;Scene;Load;4
354370,4;Enemy;0;RegularSpawn;AtSpawnPoint;1
359373,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
364368,4;Enemy;0;RegularSpawn;AtSpawnPoint;0
373186,5;Enemy;DeathBy;Gun
374362,5;Enemy;0;RegularSpawn;AtSpawnPoint;0
376201,4;Enemy;DeathBy;Gun
378356;Enemy;DeathBy;Gun
379366,5;Enemy;0;RegularSpawn;AtSpawnPoint;0
382866;Enemy;DeathBy;Gun
384376;Enemy;0;RegularSpawn;AtSpawnPoint;0
387360,8;Enemy;DeathBy;Gun
390376,1;Enemy;DeathBy;Gun
394362,6;Enemy;0;RegularSpawn;AtSpawnPoint;2
398537,7;Enemy;DeathBy;Gun
399366,5;Enemy;0;RegularSpawn;AtSpawnPoint;0
404375,3;Enemy;0;RegularSpawn;AtSpawnPoint;1
404391,5;AffectiveSpawn;SpawnMax;SetTo;0
404457,8;Alert;AffectiveSpawn;Activation
404457,8;AffectiveSpawn;Active;Sum;5
406861,7;Enemy;DeathBy;Gun
409398,5;AffectiveSpawn;SpawnMax;SetTo;0
410111,4;Enemy;DeathBy;Gun
411371,7;Enemy;1;AffectiveSpawn;AtSpawnPoint;0
414367;Enemy;0;RegularSpawn;AtSpawnPoint;0
414405,3;AffectiveSpawn;SpawnMax;SetTo;0
417603,4;Enemy;DeathBy;Gun
418119,6;TextScore;ChangeTo;KIEPSKO
418368,1;Enemy;2;AffectiveSpawn;AtSpawnPoint;0
419369,2;Enemy;0;RegularSpawn;AtSpawnPoint;0
419418,5;AffectiveSpawn;SpawnMax;SetTo;0
424366,8;Enemy;0;RegularSpawn;AtSpawnPoint;0
424433,1;AffectiveSpawn;SpawnMax;SetTo;2
424863,8;Enemy;DeathBy;Gun
425360,8;Enemy;2;AffectiveSpawn;AtSpawnPoint;1
428082,2;Enemy;DeathBy;Gun
429440,3;AffectiveSpawn;SpawnMax;SetTo;2
430865;Enemy;DeathBy;Gun
432372,6;Enemy;0;AffectiveSpawn;AtSpawnPoint;0
434363,5;Enemy;0;RegularSpawn;AtSpawnPoint;1
434400,6;Alert;Enemy;SpeedAdjust
434400,6;Enemy;Speed;ChangeTo;4,518931
434450,3;AffectiveSpawn;SpawnMax;SetTo;2
435362,1;Enemy;DeathBy;Gun
436405,5;Enemy;Speed;ChangeTo;4,049061
437515,9;Enemy;DeathBy;Gun
438410;Enemy;Speed;ChangeTo;3,747252
439370,9;Enemy;0;RegularSpawn;AtSpawnPoint;0
439370,9;Enemy;2;AffectiveSpawn;AtSpawnPoint;0
439453,7;AffectiveSpawn;SpawnMax;SetTo;0
440414,7;Enemy;Speed;ChangeTo;3,378874
441177,7;Enemy;DeathBy;Gun
442422;Enemy;Speed;ChangeTo;3,167855
444361,3;Enemy;0;RegularSpawn;AtSpawnPoint;0
444427,6;Enemy;Speed;ChangeTo;2,811116
444460,9;AffectiveSpawn;SpawnMax;SetTo;0
445057,1;Enemy;DeathBy;Gun
446365,8;Enemy;0;AffectiveSpawn;AtSpawnPoint;0
446432,1;Enemy;Speed;ChangeTo;2,600446
448438,5;Enemy;Speed;ChangeTo;3,518023
449465,5;AffectiveSpawn;SpawnMax;SetTo;0
449863,2;Enemy;DeathBy;Gun
450443,9;Enemy;Speed;ChangeTo;3,314347
452453,8;Enemy;Speed;ChangeTo;3,024945
453281,9;Enemy;DeathBy;Gun
453364,7;Enemy;0;AffectiveSpawn;AtSpawnPoint;0
453795,4;TextScore;ChangeTo;PRZYZWOICIE
454375,3;Enemy;0;RegularSpawn;AtSpawnPoint;2
454459,5;Enemy;Speed;ChangeTo;5,505764
454475,8;AffectiveSpawn;SpawnMax;SetTo;2
456287;Enemy;DeathBy;Gun
456469,4;Enemy;Speed;ChangeTo;5,325436
458477;Enemy;Speed;ChangeTo;5,618326
459371,6;Enemy;0;RegularSpawn;AtSpawnPoint;0
459488,2;AffectiveSpawn;SpawnMax;SetTo;2
460485;Enemy;Speed;ChangeTo;5,16025
461180,8;Enemy;DeathBy;Gun
462490,6;Enemy;Speed;ChangeTo;4,908554
464364,6;Enemy;0;RegularSpawn;AtSpawnPoint;0
464464;Alert;AffectiveSpawn;Activation
464464;AffectiveSpawn;Active;Sum;5
464497,3;AffectiveSpawn;SpawnMax;SetTo;2
464497,3;Enemy;Speed;ChangeTo;4,829468
466508,4;Enemy;Speed;ChangeTo;4,525671
467371,3;Enemy;1;AffectiveSpawn;AtSpawnPoint;1
467371,3;Enemy;1;AffectiveSpawn;AtSpawnPoint;0
468514,4;Enemy;Speed;ChangeTo;4,473488
469498,1;AffectiveSpawn;SpawnMax;SetTo;0
470525,2;Enemy;Speed;ChangeTo;4,167879
471254,1;Enemy;DeathBy;Gun
472316,5;Enemy;DeathBy;Gun
472537,5;Enemy;Speed;ChangeTo;3,78402
472952,1;Player;Health;DecreaseTo;90
473067,8;Player;Health;DecreaseTo;80
474371;Enemy;0;RegularSpawn;AtSpawnPoint;1
474371;Enemy;2;AffectiveSpawn;AtSpawnPoint;0
474371;Enemy;2;AffectiveSpawn;AtSpawnPoint;0
474503,3;AffectiveSpawn;SpawnMax;SetTo;0
474553,3;Enemy;Speed;ChangeTo;3,48162
476563,2;Enemy;Speed;ChangeTo;3,018394
477651,9;Enemy;DeathBy;Gun
478499,1;Enemy;DeathBy;Gun
478565,4;Enemy;Speed;ChangeTo;2,74394
479373;Enemy;0;RegularSpawn;AtSpawnPoint;0
479509,9;AffectiveSpawn;SpawnMax;SetTo;0
480570;Enemy;Speed;ChangeTo;2,607771
481368,7;Enemy;0;AffectiveSpawn;AtSpawnPoint;0
481368,7;Enemy;0;AffectiveSpawn;AtSpawnPoint;0
482130,7;Enemy;DeathBy;Gun
482578,4;Enemy;Speed;ChangeTo;2,442437
483610,4;Enemy;DeathBy;Gun
484375,3;Enemy;0;RegularSpawn;AtSpawnPoint;1
484524,4;AffectiveSpawn;SpawnMax;SetTo;0
484590,6;Enemy;Speed;ChangeTo;2,349102
486590,7;Enemy;Speed;ChangeTo;2,247132
488367;Enemy;0;AffectiveSpawn;AtSpawnPoint;0
488367;Enemy;0;AffectiveSpawn;AtSpawnPoint;0
488498,9;Enemy;DeathBy;Gun
488598,4;Enemy;Speed;ChangeTo;2,202783
489012,5;TextScore;ChangeTo;WSPANIALE
489526;AffectiveSpawn;SpawnMax;SetTo;0
490602,9;Enemy;Speed;ChangeTo;2,146445
491514;Enemy;DeathBy;Gun
492362,6;Enemy;DeathBy;Gun
492611,7;Enemy;Speed;ChangeTo;2,141659
493075,3;Player;Health;IncreaseTo;90
494367,5;Enemy;0;RegularSpawn;AtSpawnPoint;2
494533,2;AffectiveSpawn;SpawnMax;SetTo;0
494616,1;Enemy;Speed;ChangeTo;2,130563
495362,6;Enemy;2;AffectiveSpawn;AtSpawnPoint;0
495362,6;Enemy;2;AffectiveSpawn;AtSpawnPoint;0
496625,9;Enemy;Speed;ChangeTo;2,135349
