1,530631E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
256102,6;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;5
256218,4;Enemy;Speed;ChangeTo;3,42
256433,8;Enemy;DeathBy;Gun
258145,8;Enemy;DeathBy;Gun
258228,8;Enemy;Speed;ChangeTo;3,45
260101,5;Enemy;0;RegularSpawn;AtSpawnPoint;0
260234,2;Enemy;Speed;ChangeTo;3,48
260283,8;Enemy;DeathBy;Gun
262240,3;Enemy;Speed;ChangeTo;3,51
263111,4;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;3
263111,4;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;4
264256,8;Enemy;Speed;ChangeTo;3,539999
264538,4;Enemy;DeathBy;Gun
266261,3;Enemy;Speed;ChangeTo;3,569999
268184,9;Enemy;DeathBy;Gun
268267,7;Enemy;Speed;ChangeTo;3,599999
268699,2;TextScore;ChangeTo;WSPANIALE
269250,2;Enemy;DeathBy;Gun
270111,6;Enemy;0;RegularSpawn;AtSpawnPoint;2
270111,6;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
270111,6;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;4
270277;Enemy;Speed;ChangeTo;3,629999
271805,8;Enemy;DeathBy;Gun
272288,7;Enemy;Speed;ChangeTo;3,659999
274296,2;Enemy;Speed;ChangeTo;3,689999
274346,8;Enemy;DeathBy;Gun
275110,7;Enemy;0;RegularSpawn;AtSpawnPoint;2
276305,1;Enemy;Speed;ChangeTo;3,719999
277101,2;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
277101,2;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;3
277797,6;Enemy;DeathBy;Gun
278313,3;Enemy;Speed;ChangeTo;3,749999
280104,7;Enemy;0;RegularSpawn;AtSpawnPoint;2
280325,2;Enemy;Speed;ChangeTo;3,779999
280540,6;Enemy;DeathBy;Gun
282329,8;Enemy;Speed;ChangeTo;3,809999
283124,9;Enemy;DeathBy;Gun
