1008;adam (1);
1666;adam (0);
3222;MICHAŁ (1);
1644;MIchał (0);
3294;X (1);
1404;x (0);
2794;Jeremiasz (1);
1132;Jeremiasz (0);
1742;Jokohama (1);
1768;Jokohama (0);
3002;KPAP (1);
1458;kpap (0);
1894;PLISZKA (1);
366;pliszka (0);
1746;Abażur (1);
1286;abażur (0);
2436;PABLO (1);
1554;pABLO (0);
0;xyz (0); (0);
80; (0);
16;armin (0);
32;ROSE (0);
