84104,33;Player;Starting;TimeBetweenBullets;0,2
84104,33;Player;Starting;DamagerPerShot;15
84104,33;Player;Starting;SuperPower;100
84104,33;Player;Starting;Health;140
84104,33;Scene;Load;6
94093,04;Enemy;0;RegularSpawn;AtSpawnPoint;2
99085,35;Enemy;0;RegularSpawn;AtSpawnPoint;1
104096,3;Enemy;0;RegularSpawn;AtSpawnPoint;2
105102;Player;Health;DecreaseTo;120
106016,9;Player;Health;DecreaseTo;100
106016,9;Slider;Health;DecreaseTo;112
106919,9;Player;Health;DecreaseTo;80
106919,9;Slider;Health;DecreaseTo;84
107085,3;Enemy;0;RegularSpawn;AtSpawnPoint;0
107826,5;Player;Health;DecreaseTo;60
1,530805E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
2095,748;ButtonClick;Polish
4348,814;ButtonClick;WithoutAffectiveLoop
4366,203;Scene;Load;1
4800,378;KeyPress;U
4817,346;Scene;Load;3
5350,359;KeyPress;U
5366,934;Scene;Load;5
5767,891;KeyPress;T
9081,1;Player;Starting;Range;100
9081,1;Player;Starting;TimeBetweenBullets;0,2
9081,1;Player;Starting;DamagerPerShot;15
9081,1;Player;Starting;SuperPower;100
9081,1;Player;Starting;Health;140
9081,1;Scene;Load;6
19073,6;Enemy;0;RegularSpawn;AtSpawnPoint;1
