1,530804E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
3247,237;InputEnter;Name;sxzx
6146,403;InputEnter;Number;222
6245,803;ButtonClick;Polish
6759,369;ButtonClick;WithoutAffectiveLoop
6776,397;Scene;Load;1
8074,458;KeyPress;U
8092,542;Scene;Load;3
8559,405;KeyPress;U
8576,529;Scene;Load;5
9077,419;KeyPress;U
9093,726;Scene;Load;7
9925,49;KeyPress;T
13239,62;Player;Starting;Range;100
13239,62;Player;Starting;TimeBetweenBullets;0,2
13239,62;Player;Starting;DamagerPerShot;15
13239,62;Player;Starting;SuperPower;100
13239,62;Player;Starting;Health;170
13239,62;Scene;Load;8
13239,62;Alert;CameraChange;1
17213,04;Alert;CameraChange;2
21213,02;Alert;CameraChange;3
25205,7;Camera;ChangeTo;FPS
34610,63;KeyPress;I
103242,2;Alert;Enemy;SpeedChange
103242,2;Enemy;Speed;ChangeTo;3,03
105258,6;Enemy;Speed;ChangeTo;3,06
