1,53063E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
8167,649;InputEnter;Name;pliszka
16289,16;InputEnter;Number;075
16371,5;ButtonClick;Polish
17564,22;ButtonClick;WithoutAffectiveLoop
17580,78;Scene;Load;1
17580,78;BackgroundMusic;Start
21576,89;ButtonClick;Next
22835,85;ButtonClick;Next
23813,33;ButtonClick;Next
24807,33;ButtonClick;Next
26132,63;ButtonClick;Next
27789,38;ButtonClick;Next
29048,35;ButtonClick;Previous
41622,45;ButtonClick;Next
57460,18;ButtonClick;Play
60773,52;Player;Starting;Health;100
60773,52;Player;Starting;Range;100
60773,52;Player;Starting;TimeBetweenBullets;0,2
60773,52;Player;Starting;DamagerPerShot;15
60773,52;Player;Starting;SuperPower;100
61754,38;Alert;Lvl0Index;0
68261,71;Alert;Lvl0Index;1
74765,84;Alert;Lvl0Index;2
74765,84;Scene;Load;2
81269,43;Alert;Lvl0Index;3
87780,14;Alert;Lvl0Index;4
94285,48;Alert;Lvl0Index;5
100798,4;Alert;Lvl0Index;6
107303,5;Alert;Lvl0Index;7
113814,2;Alert;Lvl0Index;8
120320,1;Alert;Lvl0Index;9
124494,9;Enemy;DeathBy;Gun
125008,4;TextScore;ChangeTo;KIEPSKO
126842,8;Alert;Lvl0Index;10
133351,3;Alert;Lvl0Index;11
133981;Enemy;DeathBy;Gun
134494,5;TextScore;ChangeTo;PRZYZWOICIE
138192,4;Enemy;DeathBy;Gun
138705,9;TextScore;ChangeTo;WSPANIALE
139865,6;Alert;Lvl0Index;12
146369,8;Alert;Lvl0Index;13
152534;Player;Health;DecreaseTo;100
152881,9;Alert;Lvl0Index;14
153443,1;Player;Health;DecreaseTo;100
154288,5;Enemy;DeathBy;Gun
154804,8;TextScore;ChangeTo;FANTASTYCZNIE
154921,5;Enemy;DeathBy;Gun
159394,3;Alert;Lvl0Index;15
165905,2;Alert;Lvl0Index;16
175798,7;Scene;Load;3
177574,7;KeyPress;T
180888;Player;Starting;Range;100
180888;Player;Starting;TimeBetweenBullets;0,2
180888;Player;Starting;DamagerPerShot;15
180888;Player;Starting;SuperPower;100
180888;Player;Starting;Health;100
180888;Scene;Load;4
190870,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
195873,7;Enemy;0;RegularSpawn;AtSpawnPoint;2
200863,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
206729,2;Enemy;DeathBy;Gun
210870,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
213654;Enemy;DeathBy;Gun
215873,4;Enemy;0;RegularSpawn;AtSpawnPoint;0
220513,1;Player;Health;DecreaseTo;90
220861,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
222347,4;Enemy;DeathBy;Gun
223424,3;Enemy;DeathBy;Gun
230316,6;Enemy;DeathBy;Gun
230863,1;Enemy;0;RegularSpawn;AtSpawnPoint;0
235458;Enemy;DeathBy;Gun
235872,2;Enemy;0;RegularSpawn;AtSpawnPoint;1
235888,8;Alert;NonAffectiveSpawn;Activation
240526;Player;Health;IncreaseTo;100
240691,7;Enemy;DeathBy;Gun
240873,9;Enemy;0;RegularSpawn;AtSpawnPoint;1
242845,3;Enemy;DeathBy;Gun
247867,1;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;1
250871,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
252915,8;Enemy;DeathBy;Gun
253433,3;TextScore;ChangeTo;KIEPSKO
254874,6;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
255870,1;Enemy;0;RegularSpawn;AtSpawnPoint;1
256557,6;Enemy;DeathBy;Gun
260864,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
261292,4;Enemy;DeathBy;Gun
261871,6;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;3
264306,8;Enemy;DeathBy;Gun
267081,8;Enemy;DeathBy;Gun
268871;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;0
269450,8;Enemy;DeathBy;Gun
270868,2;Enemy;0;RegularSpawn;AtSpawnPoint;0
270901,5;Alert;Enemy;SpeedChange
270901,5;Enemy;Speed;ChangeTo;3,03
271581,1;Enemy;DeathBy;Gun
272907,5;Enemy;Speed;ChangeTo;3,06
273503,9;Enemy;DeathBy;Gun
274922,5;Enemy;Speed;ChangeTo;3,09
275876,6;Enemy;0;RegularSpawn;AtSpawnPoint;2
275876,6;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;2
276936,5;Enemy;Speed;ChangeTo;3,12
277981,8;Enemy;DeathBy;Gun
278495,3;TextScore;ChangeTo;PRZYZWOICIE
278942,6;Enemy;Speed;ChangeTo;3,15
280872,5;Enemy;0;RegularSpawn;AtSpawnPoint;2
280955,3;Enemy;Speed;ChangeTo;3,18
281619,1;Enemy;DeathBy;Gun
282869,6;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;1
282970;Enemy;Speed;ChangeTo;3,21
284600,1;Enemy;DeathBy;Gun
284981,1;Enemy;Speed;ChangeTo;3,24
286981,5;Enemy;Speed;ChangeTo;3,27
288994,2;Enemy;Speed;ChangeTo;3,3
289872,3;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;3
290866,3;Enemy;0;RegularSpawn;AtSpawnPoint;1
290998,8;Enemy;Speed;ChangeTo;3,33
293008,9;Enemy;Speed;ChangeTo;3,36
294228,7;Enemy;DeathBy;Gun
295023,9;Enemy;Speed;ChangeTo;3,39
295873,4;Enemy;0;RegularSpawn;AtSpawnPoint;1
295890,5;Alert;NonAffectiveSpawn;Activation
296873,2;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;1
297038,9;Enemy;Speed;ChangeTo;3,42
298928,4;Enemy;DeathBy;Gun
299044,9;Enemy;Speed;ChangeTo;3,45
300866,8;Enemy;0;RegularSpawn;AtSpawnPoint;0
301049,4;Enemy;Speed;ChangeTo;3,48
303059,9;Enemy;Speed;ChangeTo;3,51
303871,8;Enemy;DeathBy;Gun
303871,8;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;1
303871,8;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;1
305064,6;Enemy;Speed;ChangeTo;3,539999
305379,5;Enemy;DeathBy;Gun
307069,9;Enemy;Speed;ChangeTo;3,569999
308494;Player;Health;DecreaseTo;90
309040,8;Enemy;DeathBy;Gun
309073,8;Enemy;Speed;ChangeTo;3,599999
309670,9;Enemy;DeathBy;Gun
310184,5;TextScore;ChangeTo;WSPANIALE
310863,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
310863,8;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
310863,8;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;4
311079,1;Enemy;Speed;ChangeTo;3,629999
312686,7;Enemy;DeathBy;Gun
313083,7;Enemy;Speed;ChangeTo;3,659999
315094,5;Enemy;Speed;ChangeTo;3,689999
315873,5;Enemy;0;RegularSpawn;AtSpawnPoint;0
316105,3;Enemy;DeathBy;Gun
317103,4;Enemy;Speed;ChangeTo;3,719999
317866,1;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;5
317866,1;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;3
319108,3;Enemy;DeathBy;Gun
319108,3;Enemy;Speed;ChangeTo;3,749999
320867,2;Enemy;0;RegularSpawn;AtSpawnPoint;2
321116,1;Enemy;Speed;ChangeTo;3,779999
323129,1;Enemy;Speed;ChangeTo;3,809999
324863,6;Enemy;DeathBy;Gun
324863,6;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;2
324863,6;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;4
325145,3;Enemy;Speed;ChangeTo;3,839999
325760;Player;Health;DecreaseTo;80
327154,4;Enemy;Speed;ChangeTo;3,869999
329165;Enemy;Speed;ChangeTo;3,899999
329250,6;Enemy;DeathBy;Gun
330876,2;Enemy;0;RegularSpawn;AtSpawnPoint;2
331182,8;Enemy;Speed;ChangeTo;3,929999
331797,3;Enemy;DeathBy;Gun
331863;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;0
331863;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;4
333195,9;Enemy;Speed;ChangeTo;3,959999
334355,5;Enemy;DeathBy;Gun
335200,4;Enemy;Speed;ChangeTo;3,989999
335864,4;Enemy;0;RegularSpawn;AtSpawnPoint;2
337203,1;Enemy;Speed;ChangeTo;4,019999
337966,7;Enemy;DeathBy;Gun
338472;TextScore;ChangeTo;FANTASTYCZNIE
338866,3;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;1
338866,3;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;4
339217,7;Enemy;Speed;ChangeTo;4,049999
339631,8;Enemy;DeathBy;Gun
340875,3;Enemy;0;RegularSpawn;AtSpawnPoint;0
341223,5;Enemy;Speed;ChangeTo;4,079999
342211,7;Player;Health;DecreaseTo;70
342211,7;Slider;Health;DecreaseTo;80
342991,3;Player;Health;DecreaseTo;60
343233,4;Enemy;Speed;ChangeTo;4,11
343415,6;Player;Health;DecreaseTo;50
343415,6;Slider;Health;DecreaseTo;60
343601;Player;Health;DecreaseTo;40
344060,3;Player;Health;DecreaseTo;30
344060,3;Slider;Health;DecreaseTo;40
344209,4;Player;Health;DecreaseTo;20
344573;Player;Health;DecreaseTo;10
344573;Slider;Health;DecreaseTo;20
344672,4;Player;Health;DecreaseTo;0
344672,4;Player;Death
354579,2;KeyPress;B
354610,3;Scene;Load;12
