1,530631E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
16636,47;InputEnter;Name;Abażur
22252,57;InputEnter;Number;078
22302,27;ButtonClick;Polish
23412,24;ButtonClick;WithAffectiveLoop
23677,79;BITalino;StartReading
85374,48;Scene;Load;1
85374,48;BackgroundMusic;Start
90381,55;ButtonClick;Next
92369,55;ButtonClick;Next
100256,6;ButtonClick;Next
104812,7;ButtonClick;Next
108490,2;ButtonClick;Next
111140,9;ButtonClick;Next
115466,8;ButtonClick;Play
118786,3;Player;Starting;Health;100
118786,3;Player;Starting;Range;100
118786,3;Player;Starting;TimeBetweenBullets;0,2
118786,3;Player;Starting;DamagerPerShot;15
118786,3;Player;Starting;SuperPower;100
119751,1;Alert;Lvl0Index;0
126261,5;Alert;Lvl0Index;1
132772,2;Alert;Lvl0Index;2
132772,2;Scene;Load;2
139284,3;Alert;Lvl0Index;3
145795,1;Alert;Lvl0Index;4
152310,8;Alert;Lvl0Index;5
158824,9;Alert;Lvl0Index;6
165336,6;Alert;Lvl0Index;7
171839,7;Alert;Lvl0Index;8
178352,2;Alert;Lvl0Index;9
180870,3;Enemy;DeathBy;Gun
181384,1;TextScore;ChangeTo;KIEPSKO
184862,3;Alert;Lvl0Index;10
189655,7;Enemy;DeathBy;Gun
190169,7;TextScore;ChangeTo;PRZYZWOICIE
191378,9;Alert;Lvl0Index;11
196535,8;Enemy;DeathBy;Gun
197051,6;TextScore;ChangeTo;WSPANIALE
197879,9;Alert;Lvl0Index;12
199952,7;Enemy;DeathBy;Gun
200466,3;TextScore;ChangeTo;FANTASTYCZNIE
203162,7;Enemy;DeathBy;Gun
204383,5;Alert;Lvl0Index;13
210883,1;Alert;Lvl0Index;14
217388,5;Alert;Lvl0Index;15
223900,5;Alert;Lvl0Index;16
233807;Scene;Load;3
236543,8;ButtonClick;Next
238730,6;ButtonClick;Next
240207;ButtonClick;Next
241797,3;ButtonClick;Next
243951;ButtonClick;Play
247264,8;Player;Starting;Range;100
247264,8;Player;Starting;TimeBetweenBullets;0,2
247264,8;Player;Starting;DamagerPerShot;15
247264,8;Player;Starting;SuperPower;100
247264,8;Player;Starting;Health;100
247264,8;Scene;Load;4
257241,6;Enemy;0;RegularSpawn;AtSpawnPoint;0
262244,9;Enemy;0;RegularSpawn;AtSpawnPoint;0
267248;Enemy;0;RegularSpawn;AtSpawnPoint;2
267513,1;Enemy;DeathBy;Gun
276915,5;Enemy;DeathBy;Gun
277246,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
281412,1;Enemy;DeathBy;Gun
282240,7;Enemy;0;RegularSpawn;AtSpawnPoint;0
286067,3;Enemy;DeathBy;Gun
287243,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
291655,2;Enemy;DeathBy;Gun
295316,4;Enemy;DeathBy;Gun
297242,7;Enemy;0;RegularSpawn;AtSpawnPoint;0
302252,3;Enemy;0;RegularSpawn;AtSpawnPoint;2
304756,8;Enemy;DeathBy;Gun
307242;Enemy;0;RegularSpawn;AtSpawnPoint;0
307258,3;AffectiveSpawn;SpawnMax;SetTo;5
307324,6;Alert;AffectiveSpawn;Activation
307324,6;AffectiveSpawn;Active;Sum;5
309494,8;Enemy;DeathBy;Gun
312262,6;AffectiveSpawn;SpawnMax;SetTo;5
313772,7;Enemy;DeathBy;Gun
314253,1;Enemy;1;AffectiveSpawn;AtSpawnPoint;2
314286,3;TextScore;ChangeTo;KIEPSKO
317252,4;Enemy;0;RegularSpawn;AtSpawnPoint;1
317269;AffectiveSpawn;SpawnMax;SetTo;5
319992,3;Enemy;DeathBy;Gun
321254,5;Enemy;0;AffectiveSpawn;AtSpawnPoint;1
322248,5;Enemy;0;RegularSpawn;AtSpawnPoint;1
322281,6;AffectiveSpawn;SpawnMax;SetTo;5
327255,7;Enemy;0;RegularSpawn;AtSpawnPoint;0
327273,1;Enemy;DeathBy;Gun
327289,3;AffectiveSpawn;SpawnMax;SetTo;5
328253,2;Enemy;2;AffectiveSpawn;AtSpawnPoint;1
331135,9;Enemy;DeathBy;Gun
332298,3;AffectiveSpawn;SpawnMax;SetTo;5
334987,7;Enemy;DeathBy;Gun
335246,8;Enemy;2;AffectiveSpawn;AtSpawnPoint;1
337135,3;Enemy;DeathBy;Gun
337251,3;Enemy;0;RegularSpawn;AtSpawnPoint;0
337268,1;Alert;Enemy;SpeedAdjust
337268,1;Enemy;Speed;ChangeTo;6,956286
337301;AffectiveSpawn;SpawnMax;SetTo;5
339275,4;Enemy;Speed;ChangeTo;6,924544
339691;Enemy;DeathBy;Gun
341284,8;Enemy;Speed;ChangeTo;6,874642
342245,6;Enemy;0;RegularSpawn;AtSpawnPoint;2
342245,6;Enemy;2;AffectiveSpawn;AtSpawnPoint;3
342312;AffectiveSpawn;SpawnMax;SetTo;5
343289,3;Enemy;Speed;ChangeTo;6,847098
343570,9;Enemy;DeathBy;Gun
344085,8;TextScore;ChangeTo;PRZYZWOICIE
345304,7;Enemy;Speed;ChangeTo;6,967183
346983,5;Enemy;DeathBy;Gun
347251,4;Enemy;0;RegularSpawn;AtSpawnPoint;1
347317,7;AffectiveSpawn;SpawnMax;SetTo;5
347317,7;Enemy;Speed;ChangeTo;6,966402
349124,1;Enemy;DeathBy;Gun
349256,1;Enemy;1;AffectiveSpawn;AtSpawnPoint;4
349322,8;Enemy;Speed;ChangeTo;6,965231
351330,1;Enemy;Speed;ChangeTo;6,968641
352327,1;AffectiveSpawn;SpawnMax;SetTo;5
353332,4;Enemy;Speed;ChangeTo;6,971509
355345;Enemy;Speed;ChangeTo;6,975434
356256,1;Enemy;1;AffectiveSpawn;AtSpawnPoint;3
357250;Enemy;0;RegularSpawn;AtSpawnPoint;2
357332,8;AffectiveSpawn;SpawnMax;SetTo;5
357349,4;Enemy;Speed;ChangeTo;6,978175
359354,8;Enemy;Speed;ChangeTo;6,969328
360714,7;Enemy;DeathBy;Gun
361361;Enemy;Speed;ChangeTo;6,960663
362256,5;Enemy;0;RegularSpawn;AtSpawnPoint;0
362339,1;AffectiveSpawn;SpawnMax;SetTo;5
363367,5;Enemy;Speed;ChangeTo;6,950947
365372;Enemy;Speed;ChangeTo;6,959598
367245;Enemy;0;RegularSpawn;AtSpawnPoint;2
367328,4;Alert;AffectiveSpawn;Activation
367328,4;AffectiveSpawn;Active;Sum;5
367344,3;AffectiveSpawn;SpawnMax;SetTo;5
367377,4;Enemy;Speed;ChangeTo;6,967366
367393,9;Enemy;DeathBy;Gun
369383,5;Enemy;Speed;ChangeTo;6,970201
370244,8;Enemy;0;AffectiveSpawn;AtSpawnPoint;0
370244,8;Enemy;0;AffectiveSpawn;AtSpawnPoint;1
371387,9;Enemy;Speed;ChangeTo;6,968164
372349,5;AffectiveSpawn;SpawnMax;SetTo;5
372547,9;Enemy;DeathBy;Gun
373396,7;Enemy;Speed;ChangeTo;6,96101
375404,7;Enemy;Speed;ChangeTo;6,944637
377248,1;Enemy;0;RegularSpawn;AtSpawnPoint;1
377248,1;Enemy;0;AffectiveSpawn;AtSpawnPoint;1
377248,1;Enemy;0;AffectiveSpawn;AtSpawnPoint;2
377364,1;AffectiveSpawn;SpawnMax;SetTo;5
377413,7;Enemy;Speed;ChangeTo;6,923339
379420,7;Enemy;Speed;ChangeTo;6,872246
380682,2;Enemy;DeathBy;Gun
381431,1;Enemy;Speed;ChangeTo;6,769544
382256;Enemy;0;RegularSpawn;AtSpawnPoint;1
382372;AffectiveSpawn;SpawnMax;SetTo;5
383444,1;Enemy;Speed;ChangeTo;6,626105
384255,9;Enemy;1;AffectiveSpawn;AtSpawnPoint;4
384255,9;Enemy;1;AffectiveSpawn;AtSpawnPoint;2
385205,1;Player;Health;DecreaseTo;90
385453,6;Enemy;Speed;ChangeTo;6,494956
386022;Player;Health;DecreaseTo;80
387247,3;Enemy;0;RegularSpawn;AtSpawnPoint;1
387379,8;AffectiveSpawn;SpawnMax;SetTo;5
387462,7;Enemy;Speed;ChangeTo;6,209102
387744,3;Enemy;DeathBy;Gun
388258,1;TextScore;ChangeTo;WSPANIALE
389470,2;Enemy;Speed;ChangeTo;5,895276
390315,1;Enemy;DeathBy;Gun
391176,1;Enemy;DeathBy;Gun
391242,5;Enemy;2;AffectiveSpawn;AtSpawnPoint;3
391242,5;Enemy;2;AffectiveSpawn;AtSpawnPoint;2
391474,3;Enemy;Speed;ChangeTo;5,886643
391822,8;Enemy;DeathBy;Gun
392386,8;AffectiveSpawn;SpawnMax;SetTo;5
393482,6;Enemy;Speed;ChangeTo;5,9031
394379,6;Enemy;DeathBy;Gun
395489,8;Enemy;Speed;ChangeTo;5,810167
397247,9;Enemy;0;RegularSpawn;AtSpawnPoint;0
397397;AffectiveSpawn;SpawnMax;SetTo;5
397497;Enemy;Speed;ChangeTo;5,783202
398241,9;Enemy;1;AffectiveSpawn;AtSpawnPoint;2
398241,9;Enemy;1;AffectiveSpawn;AtSpawnPoint;4
399503,7;Enemy;Speed;ChangeTo;5,712444
401228,6;Enemy;DeathBy;Gun
401510,9;Enemy;Speed;ChangeTo;5,603268
402241,6;Enemy;0;RegularSpawn;AtSpawnPoint;0
402407,3;AffectiveSpawn;SpawnMax;SetTo;5
403517,3;Enemy;Speed;ChangeTo;5,528292
403798,9;Enemy;DeathBy;Gun
405243,4;Enemy;1;AffectiveSpawn;AtSpawnPoint;1
