1,530633E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
278275;Enemy;Speed;ChangeTo;3,36
279684,2;Enemy;DeathBy;Gun
280280,4;Enemy;Speed;ChangeTo;3,39
280661,7;Player;Health;IncreaseTo;100
281141,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
281175,3;Alert;NonAffectiveSpawn;Activation
281655,4;Player;Health;DecreaseTo;90
281970,2;Player;Health;DecreaseTo;80
282152,4;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;4
282285,2;Enemy;Speed;ChangeTo;3,42
282285,2;Player;Health;DecreaseTo;70
282285,2;Slider;Health;DecreaseTo;80
282484,2;Enemy;DeathBy;Gun
284301,7;Enemy;Speed;ChangeTo;3,45
285466,6;Enemy;DeathBy;Gun
286145,6;Enemy;0;RegularSpawn;AtSpawnPoint;0
286311,3;Enemy;Speed;ChangeTo;3,48
288315,9;Enemy;Speed;ChangeTo;3,51
289144,1;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;2
289144,1;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;3
290323,3;Enemy;Speed;ChangeTo;3,539999
292328,3;Enemy;Speed;ChangeTo;3,569999
294333;Enemy;Speed;ChangeTo;3,599999
296154,3;Enemy;0;RegularSpawn;AtSpawnPoint;1
296154,3;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;2
296154,3;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;2
296336,7;Enemy;Speed;ChangeTo;3,629999
297004,5;Enemy;DeathBy;Gun
297840,2;Enemy;DeathBy;Gun
298338,7;Enemy;Speed;ChangeTo;3,659999
300166,6;Enemy;DeathBy;Gun
300348,5;Enemy;Speed;ChangeTo;3,689999
300682;TextScore;ChangeTo;WSPANIALE
301146,4;Enemy;0;RegularSpawn;AtSpawnPoint;2
302287,5;Player;Health;IncreaseTo;80
302287,5;Slider;Health;IncreaseTo;100
302354,3;Enemy;Speed;ChangeTo;3,719999
303153,8;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
303153,8;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;2
304361,3;Enemy;Speed;ChangeTo;3,749999
304579,3;Enemy;DeathBy;Gun
306146,3;Enemy;0;RegularSpawn;AtSpawnPoint;0
306362,5;Enemy;Speed;ChangeTo;3,779999
308373,9;Enemy;Speed;ChangeTo;3,809999
310143,7;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;1
310143,7;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;3
310375,9;Enemy;Speed;ChangeTo;3,839999
311159,1;Enemy;DeathBy;Gun
312378,4;Enemy;Speed;ChangeTo;3,869999
312428,4;Enemy;DeathBy;Gun
313720,8;Enemy;DeathBy;Gun
314383,9;Enemy;Speed;ChangeTo;3,899999
316140,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
316390;Enemy;Speed;ChangeTo;3,929999
317153,9;Enemy;DeathBy;Gun
317153,9;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;2
317153,9;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;4
318400,9;Enemy;Speed;ChangeTo;3,959999
320403,5;Enemy;Speed;ChangeTo;3,989999
321143,9;Enemy;0;RegularSpawn;AtSpawnPoint;0
321978,1;Enemy;DeathBy;Gun
322297,3;Player;Health;IncreaseTo;90
322413,3;Enemy;Speed;ChangeTo;4,019999
324147,3;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;5
324147,3;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;5
324416,2;Enemy;Speed;ChangeTo;4,049999
326030,5;Enemy;DeathBy;Gun
326146,4;Enemy;0;RegularSpawn;AtSpawnPoint;2
326429;Enemy;Speed;ChangeTo;4,079999
326544,9;TextScore;ChangeTo;FANTASTYCZNIE
328438,9;Enemy;Speed;ChangeTo;4,11
328790,5;Enemy;DeathBy;Gun
330450,7;Enemy;Speed;ChangeTo;4,14
331148,6;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;2
331148,6;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;3
332457,7;Enemy;Speed;ChangeTo;4,17
333897,7;Enemy;DeathBy;Gun
334318,7;Enemy;DeathBy;Gun
334458;Enemy;Speed;ChangeTo;4,2
336154,3;Enemy;0;RegularSpawn;AtSpawnPoint;1
336471,4;Enemy;Speed;ChangeTo;4,23
338140,7;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;2
338140,7;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;4
338475,1;Enemy;Speed;ChangeTo;4,260001
338961,2;Enemy;DeathBy;Gun
340479;Enemy;Speed;ChangeTo;4,290001
340654,6;Enemy;DeathBy;Gun
341154,1;Enemy;0;RegularSpawn;AtSpawnPoint;1
342302,8;Player;Health;IncreaseTo;100
342487,4;Enemy;Speed;ChangeTo;4,320001
344490,1;Enemy;Speed;ChangeTo;4,350001
345140,9;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
345140,9;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;2
345457;Enemy;DeathBy;Gun
346084,6;Enemy;DeathBy;Gun
346152,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
346503,5;Enemy;Speed;ChangeTo;4,380002
347569,1;Player;Health;DecreaseTo;90
348518,8;Enemy;Speed;ChangeTo;4,410002
350487,3;Enemy;DeathBy;Gun
350523,4;Enemy;Speed;ChangeTo;4,440002
350992,5;Enemy;DeathBy;LevelEnd
350992,5;Enemy;DeathBy;LevelEnd
350992,5;Enemy;DeathBy;LevelEnd
350992,5;Enemy;DeathBy;LevelEnd
350992,5;Enemy;DeathBy;LevelEnd
350992,5;Enemy;DeathBy;LevelEnd
350992,5;Enemy;DeathBy;LevelEnd
350992,5;Enemy;DeathBy;LevelEnd
350992,5;Enemy;DeathBy;LevelEnd
350992,5;Enemy;DeathBy;LevelEnd
350992,5;Enemy;DeathBy;LevelEnd
350992,5;Enemy;DeathBy;LevelEnd
352150,6;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;0
352150,6;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;1
