1,53055E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
6792,524;InputEnter;Name;MICHAŁ
12077,29;InputEnter;Number;06
12160,2;ButtonClick;Polish
13521,19;ButtonClick;WithAffectiveLoop
13786,43;BITalino;StartReading
75814,52;Scene;Load;1
75814,52;BackgroundMusic;Start
88905,02;ButtonClick;Next
91522,55;ButtonClick;Next
95018,4;ButtonClick;Next
102258,4;ButtonClick;Next
108967,3;ButtonClick;Next
115163,4;ButtonClick;Next
121425,4;ButtonClick;Play
124739;Player;Starting;Health;100
124739;Player;Starting;Range;100
124739;Player;Starting;TimeBetweenBullets;0,2
124739;Player;Starting;DamagerPerShot;15
124739;Player;Starting;SuperPower;100
125719,6;Alert;Lvl0Index;0
132231;Alert;Lvl0Index;1
138741,8;Alert;Lvl0Index;2
138741,8;Scene;Load;2
145252,7;Alert;Lvl0Index;3
151763,7;Alert;Lvl0Index;4
158273,9;Alert;Lvl0Index;5
164782,7;Alert;Lvl0Index;6
171305,6;Alert;Lvl0Index;7
177811,1;Alert;Lvl0Index;8
184322,8;Alert;Lvl0Index;9
188991;Enemy;DeathBy;Gun
189504,1;TextScore;ChangeTo;KIEPSKO
190825,4;Alert;Lvl0Index;10
197340,2;Alert;Lvl0Index;11
199490,5;Enemy;DeathBy;Gun
200004;TextScore;ChangeTo;PRZYZWOICIE
203846,6;Alert;Lvl0Index;12
206797,8;Enemy;DeathBy;Gun
207311,4;TextScore;ChangeTo;WSPANIALE
210361,3;Alert;Lvl0Index;13
211023,5;Enemy;DeathBy;Gun
211536,7;TextScore;ChangeTo;FANTASTYCZNIE
214253,6;Enemy;DeathBy;Gun
216871,2;Alert;Lvl0Index;14
223376,1;Alert;Lvl0Index;15
229888,2;Alert;Lvl0Index;16
239771,2;Scene;Load;3
242359,2;ButtonClick;Next
243071,4;ButtonClick;Next
243651,2;ButtonClick;Next
245606,1;ButtonClick;Next
248836,6;ButtonClick;Play
252150;Player;Starting;Range;100
252150;Player;Starting;TimeBetweenBullets;0,2
252150;Player;Starting;DamagerPerShot;15
252150;Player;Starting;SuperPower;100
252150;Player;Starting;Health;100
252150;Scene;Load;4
262132,9;Enemy;0;RegularSpawn;AtSpawnPoint;1
267129,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
272129,9;Enemy;0;RegularSpawn;AtSpawnPoint;0
277485,7;Enemy;DeathBy;Gun
280633,5;Enemy;DeathBy;Gun
282124,8;Enemy;0;RegularSpawn;AtSpawnPoint;0
283864,6;Enemy;DeathBy;Gun
287131,1;Enemy;0;RegularSpawn;AtSpawnPoint;0
292124,2;Enemy;0;RegularSpawn;AtSpawnPoint;1
295507,2;Enemy;DeathBy;Gun
301092,4;Player;Health;DecreaseTo;90
302122,8;Enemy;0;RegularSpawn;AtSpawnPoint;0
302354,8;Enemy;DeathBy;Gun
304263,2;Enemy;DeathBy;Gun
307132,6;Enemy;0;RegularSpawn;AtSpawnPoint;2
312124,4;Enemy;0;RegularSpawn;AtSpawnPoint;2
312157,8;AffectiveSpawn;SpawnMax;SetTo;5
312223,7;Alert;AffectiveSpawn;Activation
312223,7;AffectiveSpawn;Active;Sum;5
314149,7;Enemy;DeathBy;Gun
316918,7;Enemy;DeathBy;Gun
317167,2;AffectiveSpawn;SpawnMax;SetTo;5
319134,7;Enemy;2;AffectiveSpawn;AtSpawnPoint;4
319683,3;Enemy;DeathBy;Gun
321097,1;Player;Health;IncreaseTo;100
322130,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
322180,5;AffectiveSpawn;SpawnMax;SetTo;2
326135,3;Enemy;1;AffectiveSpawn;AtSpawnPoint;1
326300,8;Enemy;DeathBy;Gun
326816,1;TextScore;ChangeTo;KIEPSKO
327130,9;Enemy;0;RegularSpawn;AtSpawnPoint;0
327181;AffectiveSpawn;SpawnMax;SetTo;2
331637,7;Enemy;DeathBy;Gun
332134,7;Enemy;0;RegularSpawn;AtSpawnPoint;1
332184,4;AffectiveSpawn;SpawnMax;SetTo;2
333129,3;Enemy;0;AffectiveSpawn;AtSpawnPoint;0
334222,1;Enemy;DeathBy;Gun
336792,7;Enemy;DeathBy;Gun
337192,5;AffectiveSpawn;SpawnMax;SetTo;2
339997,3;Enemy;DeathBy;Gun
340013,9;Player;Health;DecreaseTo;90
340129,7;Enemy;0;AffectiveSpawn;AtSpawnPoint;0
342134,3;Enemy;0;RegularSpawn;AtSpawnPoint;2
342151,2;Alert;Enemy;SpeedAdjust
342151,2;Enemy;Speed;ChangeTo;2,764123
342202,3;AffectiveSpawn;SpawnMax;SetTo;2
342765,4;Enemy;DeathBy;Gun
344163,9;Enemy;Speed;ChangeTo;2,464611
346177,2;Enemy;Speed;ChangeTo;2,499416
346325,6;Enemy;DeathBy;Gun
347127,6;Enemy;0;RegularSpawn;AtSpawnPoint;1
347127,6;Enemy;1;AffectiveSpawn;AtSpawnPoint;1
347209,9;AffectiveSpawn;SpawnMax;SetTo;2
348188,9;Enemy;Speed;ChangeTo;2,91496
350196,3;Enemy;Speed;ChangeTo;2,857074
350577,2;Enemy;DeathBy;Gun
352124,9;Enemy;0;RegularSpawn;AtSpawnPoint;1
352208;Enemy;Speed;ChangeTo;2,878356
352224,3;AffectiveSpawn;SpawnMax;SetTo;2
354130,7;Enemy;0;AffectiveSpawn;AtSpawnPoint;0
354213,5;Enemy;Speed;ChangeTo;3,902374
356219,5;Enemy;Speed;ChangeTo;5,123375
357230,9;AffectiveSpawn;SpawnMax;SetTo;5
358227,4;Enemy;Speed;ChangeTo;4,923583
360015,4;Player;Health;IncreaseTo;100
360169,3;Enemy;DeathBy;Gun
360235,6;Enemy;Speed;ChangeTo;6,167617
360682,9;TextScore;ChangeTo;PRZYZWOICIE
361132,4;Enemy;2;AffectiveSpawn;AtSpawnPoint;2
362126,4;Enemy;0;RegularSpawn;AtSpawnPoint;1
362242,3;AffectiveSpawn;SpawnMax;SetTo;5
362242,3;Enemy;Speed;ChangeTo;6,086756
363385,6;Enemy;DeathBy;Gun
364251;Enemy;Speed;ChangeTo;5,998595
366264,4;Enemy;Speed;ChangeTo;5,734864
367126;Enemy;0;RegularSpawn;AtSpawnPoint;1
367243,4;AffectiveSpawn;SpawnMax;SetTo;5
367293,3;Player;Health;DecreaseTo;90
368273,5;Enemy;Speed;ChangeTo;5,495927
368720,7;Enemy;DeathBy;Gun
370210,9;Enemy;DeathBy;Gun
370277,3;Enemy;Speed;ChangeTo;5,325789
372124,3;Enemy;0;RegularSpawn;AtSpawnPoint;2
372190,7;Alert;AffectiveSpawn;Activation
372190,7;AffectiveSpawn;Active;Sum;5
372257;AffectiveSpawn;SpawnMax;SetTo;5
372290;Enemy;Speed;ChangeTo;5,207169
373795,6;Enemy;DeathBy;Gun
374305,2;Enemy;Speed;ChangeTo;4,831763
375133,5;Enemy;1;AffectiveSpawn;AtSpawnPoint;2
375133,5;Enemy;1;AffectiveSpawn;AtSpawnPoint;2
376314,9;Enemy;Speed;ChangeTo;4,829542
377261,5;AffectiveSpawn;SpawnMax;SetTo;5
378322;Enemy;Speed;ChangeTo;4,396883
380322,9;Enemy;Speed;ChangeTo;5,012331
381028,3;Enemy;DeathBy;Gun
382105,1;Enemy;DeathBy;Gun
382121,8;Enemy;0;RegularSpawn;AtSpawnPoint;0
382121,8;Enemy;1;AffectiveSpawn;AtSpawnPoint;0
382121,8;Enemy;1;AffectiveSpawn;AtSpawnPoint;2
382271,8;AffectiveSpawn;SpawnMax;SetTo;5
382338,1;Enemy;Speed;ChangeTo;4,710534
384343,9;Enemy;Speed;ChangeTo;4,451184
384675,3;Enemy;DeathBy;Gun
386351,7;Enemy;Speed;ChangeTo;4,234952
387134,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
387217,3;Enemy;DeathBy;Gun
387283,5;AffectiveSpawn;SpawnMax;SetTo;2
387300,5;Player;Health;IncreaseTo;100
388360,5;Enemy;Speed;ChangeTo;3,90466
389123;Enemy;2;AffectiveSpawn;AtSpawnPoint;0
389123;Enemy;2;AffectiveSpawn;AtSpawnPoint;0
389672,6;Player;Health;DecreaseTo;90
390368,4;Enemy;Speed;ChangeTo;3,785894
390633,5;Enemy;DeathBy;Gun
391147,1;TextScore;ChangeTo;WSPANIALE
392131,6;Enemy;0;RegularSpawn;AtSpawnPoint;2
392297,3;AffectiveSpawn;SpawnMax;SetTo;2
392380,1;Enemy;Speed;ChangeTo;3,671681
393225;Player;Health;DecreaseTo;80
393622,6;Enemy;DeathBy;Gun
394384,7;Enemy;Speed;ChangeTo;3,393476
396126,2;Enemy;2;AffectiveSpawn;AtSpawnPoint;1
396126,2;Enemy;2;AffectiveSpawn;AtSpawnPoint;0
396392,1;Enemy;Speed;ChangeTo;3,24667
396609,1;Enemy;DeathBy;Gun
397305,3;AffectiveSpawn;SpawnMax;SetTo;2
398398,3;Enemy;Speed;ChangeTo;3,06508
400275,3;Enemy;DeathBy;Gun
400407,9;Enemy;Speed;ChangeTo;3,988418
402121,9;Enemy;0;RegularSpawn;AtSpawnPoint;0
402320,8;AffectiveSpawn;SpawnMax;SetTo;2
402420,1;Enemy;Speed;ChangeTo;3,747527
403124,9;Enemy;1;AffectiveSpawn;AtSpawnPoint;1
403124,9;Enemy;1;AffectiveSpawn;AtSpawnPoint;0
404420,3;Enemy;Speed;ChangeTo;3,463238
405832,8;Enemy;DeathBy;Gun
