time;event;
228,0449;EnemiesSpeed: 1,837193;
233,0674;EnemiesSpeed: 1,806111;
238,0814;EnemiesSpeed: 1,85968;
238,7085;Wave: 0; SpawnedEnemies: 2; SpawnPoints: 1; DamageReceived: 0;
243,0944;EnemiesSpeed: 1,898336;
248,1069;EnemiesSpeed: 1,816397;
253,1186;EnemiesSpeed: 2,021719;
258,131;EnemiesSpeed: 1,979461;
263,1429;EnemiesSpeed: 1,873458;
268,155;EnemiesSpeed: 1,852748;
269,0732;Wave: 1; SpawnedEnemies: 4; SpawnPoints: 2; DamageReceived: 0;
273,1673;EnemiesSpeed: 1,825224;
278,179;EnemiesSpeed: 1,929224;
283,1899;EnemiesSpeed: 1,815349;
288,2024;EnemiesSpeed: 1,906332;
293,2143;EnemiesSpeed: 2,005819;
293,2419;Wave: 2; SpawnedEnemies: 7; SpawnPoints: 2; DamageReceived: 0;
298,2267;EnemiesSpeed: 1,914632;
303,238;EnemiesSpeed: 1,845346;
308,2502;EnemiesSpeed: 1,891061;
313,2631;EnemiesSpeed: 1,853853;
318,2733;EnemiesSpeed: 1,879762;
323,2864;EnemiesSpeed: 1,828396;
328,2988;EnemiesSpeed: 1,832633;
333,3101;EnemiesSpeed: 1,836538;
334,8426;Wave: 3; SpawnedEnemies: 10; SpawnPoints: 3; DamageReceived: 0;
338,3224;EnemiesSpeed: 1,826877;
343,3353;EnemiesSpeed: 2,081658;
348,3459;EnemiesSpeed: 1,870557;
353,3587;EnemiesSpeed: 1,918217;
358,3695;EnemiesSpeed: 1,836026;
363,3813;EnemiesSpeed: 1,833789;
368,3935;EnemiesSpeed: 1,858954;
372,7101;Wave: 4; SpawnedEnemies: 20; SpawnPoints: 3; DamageReceived: 1;
373,4063;EnemiesSpeed: 1,94885;
378,4186;EnemiesSpeed: 1,840949;
383,4305;EnemiesSpeed: 1,912382;
388,4405;EnemiesSpeed: 2,156341;
393,4534;EnemiesSpeed: 1,830946;
398,4668;EnemiesSpeed: 1,852016;
400,1927;Wave: 5; SpawnedEnemies: 10; SpawnPoints: 3; DamageReceived: 0;
403,4782;EnemiesSpeed: 2,367512;
408,4905;EnemiesSpeed: 2,294811;
413,5023;EnemiesSpeed: 2,823956;
418,5135;EnemiesSpeed: 2,086755;
423,5263;EnemiesSpeed: 1,901548;
426,2828;Wave: 6; SpawnedEnemies: 7; SpawnPoints: 4; DamageReceived: 0;
428,5273;EnemiesSpeed: 1,89813;
433,5362;EnemiesSpeed: 1,814549;
438,544;EnemiesSpeed: 1,834908;
443,5569;EnemiesSpeed: 2,608157;
448,5575;EnemiesSpeed: 2,27666;
451,7867;Wave: 7; SpawnedEnemies: 11; SpawnPoints: 3; DamageReceived: 0;
453,5701;EnemiesSpeed: 2,476933;
458,5833;EnemiesSpeed: 2,232788;
463,5933;EnemiesSpeed: 2,40276;
468,606;EnemiesSpeed: 1,978773;
473,6183;EnemiesSpeed: 2,034749;
478,6309;EnemiesSpeed: 1,860195;
483,6414;EnemiesSpeed: 1,843485;
488,6523;EnemiesSpeed: 1,890485;
493,5405;Wave: 8; SpawnedEnemies: 18; SpawnPoints: 4; DamageReceived: 0;
493,6659;EnemiesSpeed: 2,134231;
498,6783;EnemiesSpeed: 2,451123;
503,689;EnemiesSpeed: 3,029652;
508,7021;EnemiesSpeed: 1,860107;
513,7134;EnemiesSpeed: 1,813655;
518,7265;EnemiesSpeed: 1,818462;
523,7375;EnemiesSpeed: 1,882834;
528,7495;EnemiesSpeed: 2,045468;
533,7595;EnemiesSpeed: 1,856059;
537,2004;Wave: 9; SpawnedEnemies: 18; SpawnPoints: 5; DamageReceived: 1;
538,7604;EnemiesSpeed: 1,858294;
