time;event;
252,4452;EnemiesSpeed: 3,488832;
257,4562;EnemiesSpeed: 3,428261;
262,4693;EnemiesSpeed: 3,633348;
266,7427;Wave: 0; SpawnedEnemies: 2; SpawnPoints: 1; DamageReceived: 0;
267,486;EnemiesSpeed: 3,617836;
272,4938;EnemiesSpeed: 3,010233;
277,5055;EnemiesSpeed: 2,577902;
282,5176;EnemiesSpeed: 3,501795;
287,5204;EnemiesSpeed: 3,710965;
288,4055;Wave: 1; SpawnedEnemies: 4; SpawnPoints: 2; DamageReceived: 0;
292,5268;EnemiesSpeed: 3,22587;
297,538;EnemiesSpeed: 2,036843;
302,549;EnemiesSpeed: 3,680821;
307,5534;EnemiesSpeed: 3,438936;
309,1414;Wave: 2; SpawnedEnemies: 7; SpawnPoints: 2; DamageReceived: 0;
312,5608;EnemiesSpeed: 3,004219;
317,5727;EnemiesSpeed: 3,15697;
322,5867;EnemiesSpeed: 2,680759;
327,5966;EnemiesSpeed: 3,768534;
332,6111;EnemiesSpeed: 3,50363;
337,6219;EnemiesSpeed: 3,42006;
339,7509;Wave: 3; SpawnedEnemies: 8; SpawnPoints: 3; DamageReceived: 0;
342,6325;EnemiesSpeed: 2,644785;
347,6451;EnemiesSpeed: 3,019787;
352,6493;EnemiesSpeed: 2,459598;
357,6537;EnemiesSpeed: 2,996179;
362,6692;EnemiesSpeed: 3,765593;
367,6756;EnemiesSpeed: 3,021462;
372,6881;EnemiesSpeed: 2,798423;
373,0237;Wave: 4; SpawnedEnemies: 13; SpawnPoints: 3; DamageReceived: 5;
377,693;EnemiesSpeed: 3,74751;
382,7007;EnemiesSpeed: 3,709696;
387,717;EnemiesSpeed: 3,600606;
392,6125;Wave: 5; SpawnedEnemies: 5; SpawnPoints: 3; DamageReceived: 0;
392,7239;EnemiesSpeed: 3,246871;
397,7331;EnemiesSpeed: 3,640831;
402,7346;EnemiesSpeed: 3,080596;
407,7475;EnemiesSpeed: 2,647134;
412,7586;EnemiesSpeed: 3,776708;
417,7686;EnemiesSpeed: 3,49988;
418,3675;Wave: 6; SpawnedEnemies: 5; SpawnPoints: 4; DamageReceived: 0;
422,782;EnemiesSpeed: 3,195672;
427,7935;EnemiesSpeed: 3,144219;
432,8069;EnemiesSpeed: 3,306037;
437,8175;EnemiesSpeed: 2,925613;
438,0121;Wave: 7; SpawnedEnemies: 6; SpawnPoints: 3; DamageReceived: 0;
442,8183;EnemiesSpeed: 3,746995;
447,8216;EnemiesSpeed: 2,92102;
452,8265;EnemiesSpeed: 2,686192;
457,8381;EnemiesSpeed: 3,247074;
462,8389;EnemiesSpeed: 2,969567;
467,8488;EnemiesSpeed: 3,155833;
470,1469;Wave: 8; SpawnedEnemies: 10; SpawnPoints: 4; DamageReceived: 0;
472,8629;EnemiesSpeed: 2,189569;
477,8725;EnemiesSpeed: 2,703756;
482,8911;EnemiesSpeed: 3,049527;
487,8967;EnemiesSpeed: 2,980942;
492,9026;EnemiesSpeed: 2,699782;
497,9074;EnemiesSpeed: 2,053168;
502,9193;EnemiesSpeed: 2,702738;
503,1282;Wave: 9; SpawnedEnemies: 9; SpawnPoints: 5; DamageReceived: 1;
