time;event;
128,7664;EnemiesSpeed: 3,98704;
133,7672;EnemiesSpeed: 3,986827;
138,775;EnemiesSpeed: 3,897952;
141,9635;Wave: 0; SpawnedEnemies: 2; SpawnPoints: 1; DamageReceived: 1;
143,7828;EnemiesSpeed: 3,712147;
148,7829;EnemiesSpeed: 3,838084;
153,7849;EnemiesSpeed: 3,978726;
158,7922;EnemiesSpeed: 3,975381;
162,6299;Wave: 1; SpawnedEnemies: 5; SpawnPoints: 2; DamageReceived: 1;
163,7969;EnemiesSpeed: 3,979827;
168,8129;EnemiesSpeed: 3,424736;
173,8178;EnemiesSpeed: 3,778578;
178,8268;EnemiesSpeed: 3,96403;
181,8612;Wave: 2; SpawnedEnemies: 7; SpawnPoints: 2; DamageReceived: 3;
183,8295;EnemiesSpeed: 3,881195;
188,8342;EnemiesSpeed: 3,91315;
193,8397;EnemiesSpeed: 3,894911;
198,8557;EnemiesSpeed: 3,874763;
203,8676;EnemiesSpeed: 3,983798;
208,8802;EnemiesSpeed: 3,976369;
213,8865;EnemiesSpeed: 3,926034;
216,8622;Wave: 3; SpawnedEnemies: 9; SpawnPoints: 3; DamageReceived: 1;
218,9069;EnemiesSpeed: 3,582047;
223,9294;EnemiesSpeed: 3,945636;
228,9372;EnemiesSpeed: 3,831408;
233,9483;EnemiesSpeed: 3,959485;
238,9591;EnemiesSpeed: 3,950995;
243,9674;EnemiesSpeed: 3,920913;
248,6509;Wave: 4; SpawnedEnemies: 14; SpawnPoints: 3; DamageReceived: 5;
248,9797;EnemiesSpeed: 3,775752;
253,9847;EnemiesSpeed: 3,178238;
258,9882;EnemiesSpeed: 3,891644;
263,9892;EnemiesSpeed: 3,877031;
269,0005;EnemiesSpeed: 3,818941;
269,3631;Wave: 5; SpawnedEnemies: 7; SpawnPoints: 3; DamageReceived: 4;
274,0022;EnemiesSpeed: 3,991105;
279,0105;EnemiesSpeed: 3,566924;
284,0225;EnemiesSpeed: 3,859485;
289,0256;EnemiesSpeed: 3,989871;
294,0373;EnemiesSpeed: 3,998498;
297,7051;Wave: 6; SpawnedEnemies: 6; SpawnPoints: 4; DamageReceived: 2;
299,058;EnemiesSpeed: 3,886001;
304,0669;EnemiesSpeed: 3,339296;
309,0741;EnemiesSpeed: 3,294955;
314,0844;EnemiesSpeed: 3,510709;
316,9039;Wave: 7; SpawnedEnemies: 7; SpawnPoints: 3; DamageReceived: 1;
319,0871;EnemiesSpeed: 3,959672;
324,0924;EnemiesSpeed: 3,887942;
329,0939;EnemiesSpeed: 3,912388;
334,0976;EnemiesSpeed: 3,964972;
339,1096;EnemiesSpeed: 3,781621;
344,1145;EnemiesSpeed: 3,971762;
347,8452;Wave: 8; SpawnedEnemies: 12; SpawnPoints: 4; DamageReceived: 4;
349,1237;EnemiesSpeed: 3,799857;
354,1367;EnemiesSpeed: 3,83198;
359,1401;EnemiesSpeed: 3,936062;
364,1585;EnemiesSpeed: 3,565208;
369,1707;EnemiesSpeed: 3,169436;
374,1778;EnemiesSpeed: 3,863341;
379,1842;EnemiesSpeed: 3,654553;
384,1877;EnemiesSpeed: 3,980358;
384,4831;Wave: 9; SpawnedEnemies: 12; SpawnPoints: 5; DamageReceived: 1;
389,2151;EnemiesSpeed: 3,960061;
394,2273;EnemiesSpeed: 3,6888;
399,2381;EnemiesSpeed: 3,992243;
403,7213;Wave: 10; SpawnedEnemies: 9; SpawnPoints: 5; DamageReceived: 5;
404,2403;EnemiesSpeed: 3,929943;
409,2484;EnemiesSpeed: 3,285801;
414,2623;EnemiesSpeed: 3,756117;
419,2681;EnemiesSpeed: 3,789731;
424,2913;EnemiesSpeed: 3,499116;
427,9875;Wave: 11; SpawnedEnemies: 10; SpawnPoints: 5; DamageReceived: 6;
429,3133;EnemiesSpeed: 3,018412;
434,3212;EnemiesSpeed: 3,784537;
439,3243;EnemiesSpeed: 3,600572;
444,3284;EnemiesSpeed: 3,900358;
449,3564;EnemiesSpeed: 3,95731;
454,3804;EnemiesSpeed: 3,906105;
459,411;EnemiesSpeed: 3,982076;
464,312;Wave: 12; SpawnedEnemies: 11; SpawnPoints: 5; DamageReceived: 5;
464,4156;EnemiesSpeed: 3,814836;
469,4265;EnemiesSpeed: 3,913865;
474,4269;EnemiesSpeed: 3,920778;
479,4276;EnemiesSpeed: 3,745652;
484,4415;EnemiesSpeed: 3,737899;
489,4536;EnemiesSpeed: 3,9106;
494,4659;EnemiesSpeed: 3,730815;
494,7809;Wave: 13; SpawnedEnemies: 11; SpawnPoints: 6; DamageReceived: 2;
499,4676;EnemiesSpeed: 3,912935;
504,4681;EnemiesSpeed: 3,544443;
509,4792;EnemiesSpeed: 3,197371;
514,4938;EnemiesSpeed: 3,790137;
518,0087;Wave: 14; SpawnedEnemies: 11; SpawnPoints: 6; DamageReceived: 9;
519,5072;EnemiesSpeed: 3,737686;
524,5261;EnemiesSpeed: 3,172388;
529,5358;EnemiesSpeed: 3,554755;
534,5511;EnemiesSpeed: 3,561897;
539,5784;EnemiesSpeed: 3,777322;
542,5563;Wave: 15; SpawnedEnemies: 16; SpawnPoints: 6; DamageReceived: 9;
544,5938;EnemiesSpeed: 3,783304;
