1,530629E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
6015,821;InputEnter;Name;PLISZKA
23371,07;InputEnter;Number;074
23487,08;ButtonClick;Polish
25743,86;ButtonClick;WithAffectiveLoop
26008,55;BITalino;StartReading
85069,01;Scene;Load;1
85069,01;BackgroundMusic;Start
101966,5;ButtonClick;Next
102579,7;ButtonClick;Next
103590,1;ButtonClick;Next
104285,8;ButtonClick;Next
104766,2;ButtonClick;Next
105478,6;ButtonClick;Next
107549,8;ButtonClick;Play
110862,8;Player;Starting;Health;100
110862,8;Player;Starting;Range;100
110862,8;Player;Starting;TimeBetweenBullets;0,2
110862,8;Player;Starting;DamagerPerShot;15
110862,8;Player;Starting;SuperPower;100
111843,6;Alert;Lvl0Index;0
118355,7;Alert;Lvl0Index;1
124866,4;Alert;Lvl0Index;2
124866,4;Scene;Load;2
131377,1;Alert;Lvl0Index;3
137887,8;Alert;Lvl0Index;4
144398,5;Alert;Lvl0Index;5
150909,2;Alert;Lvl0Index;6
157424,2;Alert;Lvl0Index;7
163936,1;Alert;Lvl0Index;8
170446,9;Alert;Lvl0Index;9
172357,4;Enemy;DeathBy;Gun
172875,6;TextScore;ChangeTo;KIEPSKO
176949,5;Alert;Lvl0Index;10
181174,7;Enemy;DeathBy;Gun
181688,6;TextScore;ChangeTo;PRZYZWOICIE
183448,3;Alert;Lvl0Index;11
189958;Alert;Lvl0Index;12
190173,5;Enemy;DeathBy;Gun
190687;TextScore;ChangeTo;WSPANIALE
193389;Enemy;DeathBy;Gun
193902,9;TextScore;ChangeTo;FANTASTYCZNIE
195543,3;Enemy;DeathBy;Gun
196471,8;Alert;Lvl0Index;13
202976,3;Alert;Lvl0Index;14
209493;Alert;Lvl0Index;15
216009,3;Alert;Lvl0Index;16
225887,8;Scene;Load;3
230480,1;ButtonClick;Next
237603,8;ButtonClick;Next
245589,3;ButtonClick;Next
248885,7;ButtonClick;Next
257185,7;ButtonClick;Play
260499;Player;Starting;Range;100
260499;Player;Starting;TimeBetweenBullets;0,2
260499;Player;Starting;DamagerPerShot;15
260499;Player;Starting;SuperPower;100
260499;Player;Starting;Health;100
260499;Scene;Load;4
270495,4;Enemy;0;RegularSpawn;AtSpawnPoint;2
275485,6;Enemy;0;RegularSpawn;AtSpawnPoint;1
280481,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
283699,6;Enemy;DeathBy;Gun
286499,2;Enemy;DeathBy;Gun
289717,2;Enemy;DeathBy;Gun
290495,5;Enemy;0;RegularSpawn;AtSpawnPoint;1
295484,7;Enemy;0;RegularSpawn;AtSpawnPoint;1
300494;Enemy;0;RegularSpawn;AtSpawnPoint;1
306641;Enemy;DeathBy;Gun
310486,4;Enemy;0;RegularSpawn;AtSpawnPoint;0
310502,8;Enemy;DeathBy;Gun
315481,1;Enemy;0;RegularSpawn;AtSpawnPoint;2
315613,7;Enemy;DeathBy;Gun
320489,3;Enemy;0;RegularSpawn;AtSpawnPoint;1
320506,5;AffectiveSpawn;SpawnMax;SetTo;2
320572,7;Alert;AffectiveSpawn;Activation
320572,7;AffectiveSpawn;Active;Sum;5
322681,8;Enemy;DeathBy;Gun
325517,4;AffectiveSpawn;SpawnMax;SetTo;5
327491,2;Enemy;1;AffectiveSpawn;AtSpawnPoint;1
329732,3;Enemy;DeathBy;Gun
330480,5;Enemy;0;RegularSpawn;AtSpawnPoint;0
330530,2;AffectiveSpawn;SpawnMax;SetTo;2
333799;Enemy;DeathBy;Gun
334313,4;TextScore;ChangeTo;KIEPSKO
334482,8;Enemy;0;AffectiveSpawn;AtSpawnPoint;0
335493;Enemy;0;RegularSpawn;AtSpawnPoint;1
335509,3;Enemy;DeathBy;Gun
335542,4;AffectiveSpawn;SpawnMax;SetTo;2
340489,7;Enemy;0;RegularSpawn;AtSpawnPoint;0
340556;AffectiveSpawn;SpawnMax;SetTo;2
341485,2;Enemy;0;AffectiveSpawn;AtSpawnPoint;0
342793,6;Enemy;DeathBy;Gun
345571,9;AffectiveSpawn;SpawnMax;SetTo;2
345588,5;Enemy;DeathBy;Gun
348173,5;Enemy;DeathBy;Gun
348488,3;Enemy;2;AffectiveSpawn;AtSpawnPoint;0
349896,4;Enemy;DeathBy;Gun
350493,3;Alert;Enemy;SpeedAdjust
350493,3;Enemy;Speed;ChangeTo;5,955511
350493,3;Enemy;0;RegularSpawn;AtSpawnPoint;2
350576,1;AffectiveSpawn;SpawnMax;SetTo;2
352500,6;Enemy;Speed;ChangeTo;5,678852
353097;Enemy;DeathBy;Gun
354505,1;Enemy;Speed;ChangeTo;5,66022
355482,6;Enemy;0;RegularSpawn;AtSpawnPoint;1
355482,6;Enemy;2;AffectiveSpawn;AtSpawnPoint;0
355582;AffectiveSpawn;SpawnMax;SetTo;2
356521;Enemy;DeathBy;Gun
356521;Enemy;Speed;ChangeTo;5,565832
358525,5;Enemy;Speed;ChangeTo;5,151259
360488,9;Enemy;0;RegularSpawn;AtSpawnPoint;0
360538,6;Enemy;Speed;ChangeTo;4,94414
360588,3;AffectiveSpawn;SpawnMax;SetTo;2
362496,5;Enemy;1;AffectiveSpawn;AtSpawnPoint;1
362546,3;Enemy;Speed;ChangeTo;4,519763
364236,3;Enemy;DeathBy;Gun
364551,2;Enemy;Speed;ChangeTo;4,386244
364749,6;TextScore;ChangeTo;PRZYZWOICIE
365596,7;AffectiveSpawn;SpawnMax;SetTo;0
366557,6;Enemy;Speed;ChangeTo;3,928485
367007,5;Enemy;DeathBy;Gun
368565;Enemy;Speed;ChangeTo;3,753788
369492,9;Enemy;1;AffectiveSpawn;AtSpawnPoint;0
370487,4;Enemy;0;RegularSpawn;AtSpawnPoint;2
370569,6;Enemy;Speed;ChangeTo;3,735854
370602,8;AffectiveSpawn;SpawnMax;SetTo;0
372574,1;Enemy;Speed;ChangeTo;3,718976
374579;Enemy;Speed;ChangeTo;3,744537
375490;Enemy;0;RegularSpawn;AtSpawnPoint;2
375606,3;AffectiveSpawn;SpawnMax;SetTo;0
376586,5;Enemy;Speed;ChangeTo;6,73869
377116,6;Enemy;DeathBy;Gun
378595,5;Enemy;Speed;ChangeTo;6,703544
378611,6;Enemy;DeathBy;Gun
380486,3;Enemy;0;RegularSpawn;AtSpawnPoint;0
380569,2;Alert;AffectiveSpawn;Activation
380569,2;AffectiveSpawn;Active;Sum;5
380602,9;Enemy;Speed;ChangeTo;6,659616
380618,9;AffectiveSpawn;SpawnMax;SetTo;2
381612,8;Enemy;DeathBy;Gun
382609,3;Enemy;Speed;ChangeTo;6,695415
383481,5;Enemy;0;AffectiveSpawn;AtSpawnPoint;0
383481,5;Enemy;0;AffectiveSpawn;AtSpawnPoint;1
384176,7;Enemy;DeathBy;Gun
384624,2;Enemy;Speed;ChangeTo;6,714621
385627,3;AffectiveSpawn;SpawnMax;SetTo;2
386637,9;Enemy;Speed;ChangeTo;6,706649
388647;Enemy;Speed;ChangeTo;6,696366
390486;Enemy;0;RegularSpawn;AtSpawnPoint;0
390486;Enemy;0;AffectiveSpawn;AtSpawnPoint;0
390486;Enemy;0;AffectiveSpawn;AtSpawnPoint;0
390636,3;AffectiveSpawn;SpawnMax;SetTo;2
390651,4;Enemy;Speed;ChangeTo;6,678466
392655,7;Enemy;Speed;ChangeTo;6,670231
392904,3;Player;Health;DecreaseTo;90
393815,6;Player;Health;DecreaseTo;80
394660,4;Enemy;Speed;ChangeTo;6,672955
395489,6;Enemy;0;RegularSpawn;AtSpawnPoint;1
395638,8;AffectiveSpawn;SpawnMax;SetTo;2
396665,8;Enemy;Speed;ChangeTo;6,671989
397262,3;Enemy;DeathBy;Gun
397494,2;Enemy;1;AffectiveSpawn;AtSpawnPoint;1
397494,2;Enemy;1;AffectiveSpawn;AtSpawnPoint;0
398672,9;Enemy;Speed;ChangeTo;6,674341
399602,1;Enemy;DeathBy;Gun
400115,9;TextScore;ChangeTo;WSPANIALE
400248,2;Enemy;DeathBy;Gun
400480,1;Enemy;0;RegularSpawn;AtSpawnPoint;1
400646,4;AffectiveSpawn;SpawnMax;SetTo;2
400678,9;Enemy;Speed;ChangeTo;6,665581
402684,1;Enemy;Speed;ChangeTo;6,552569
404492,6;Enemy;1;AffectiveSpawn;AtSpawnPoint;1
404492,6;Enemy;1;AffectiveSpawn;AtSpawnPoint;0
404691,4;Enemy;Speed;ChangeTo;6,315713
405653,1;AffectiveSpawn;SpawnMax;SetTo;2
406696,3;Enemy;Speed;ChangeTo;5,8892
408254;Player;Health;DecreaseTo;70
408254;Slider;Health;DecreaseTo;80
408701,3;Enemy;Speed;ChangeTo;5,52876
409052,4;Enemy;DeathBy;Gun
410480,6;Enemy;0;RegularSpawn;AtSpawnPoint;1
410513,7;Player;Health;DecreaseTo;60
410663,3;AffectiveSpawn;SpawnMax;SetTo;2
410712,6;Enemy;Speed;ChangeTo;4,917198
411309,3;Player;Health;DecreaseTo;50
411309,3;Slider;Health;DecreaseTo;60
411491,6;Enemy;2;AffectiveSpawn;AtSpawnPoint;1
411491,6;Enemy;2;AffectiveSpawn;AtSpawnPoint;0
412717,7;Enemy;Speed;ChangeTo;4,411826
414726,6;Enemy;Speed;ChangeTo;3,963773
415491,2;Enemy;0;RegularSpawn;AtSpawnPoint;1
415673,6;AffectiveSpawn;SpawnMax;SetTo;0
415857,2;Enemy;DeathBy;Gun
416736,2;Enemy;Speed;ChangeTo;3,562238
