1566489748694;UnixTime
0;Game;Introduction;CountDown;Text;ChangeTo;30s
24800;Joystick;Left;Horizontal;0;Vertical;0
24800;Joystick;Right;Horizontal;0;Vertical;0
24820;Joystick;Left;Horizontal;0;Vertical;0
24820;Joystick;Right;Horizontal;0;Vertical;0
24840;Joystick;Left;Horizontal;0;Vertical;0
24840;Joystick;Right;Horizontal;0;Vertical;0
24860;Joystick;Left;Horizontal;0;Vertical;0
24860;Joystick;Right;Horizontal;0;Vertical;0
24880;Joystick;Left;Horizontal;0;Vertical;0
24880;Joystick;Right;Horizontal;0;Vertical;0
24900;Joystick;Left;Horizontal;0;Vertical;0
24900;Joystick;Right;Horizontal;0;Vertical;0
24920;Joystick;Left;Horizontal;0;Vertical;0
24920;Joystick;Right;Horizontal;0;Vertical;0
24940;Joystick;Left;Horizontal;0;Vertical;0
24940;Joystick;Right;Horizontal;0;Vertical;0
24960;Joystick;Left;Horizontal;0;Vertical;0
24960;Joystick;Right;Horizontal;0;Vertical;0
24980;Joystick;Left;Horizontal;0;Vertical;0
24980;Joystick;Right;Horizontal;0;Vertical;0
25000;Joystick;Left;Horizontal;0;Vertical;0
25000;Joystick;Right;Horizontal;0;Vertical;0
25020;Joystick;Left;Horizontal;0;Vertical;0
25020;Joystick;Right;Horizontal;0;Vertical;0
25040;Joystick;Left;Horizontal;0;Vertical;0
25040;Joystick;Right;Horizontal;0;Vertical;0
25060;Joystick;Left;Horizontal;0;Vertical;0
25060;Joystick;Right;Horizontal;0;Vertical;0
25080;Joystick;Left;Horizontal;0;Vertical;0
25080;Joystick;Right;Horizontal;0;Vertical;0
25100;Joystick;Left;Horizontal;0;Vertical;0
25100;Joystick;Right;Horizontal;0;Vertical;0
25120;Joystick;Left;Horizontal;0;Vertical;0
25120;Joystick;Right;Horizontal;0;Vertical;0
25140;Joystick;Left;Horizontal;0;Vertical;0
25140;Joystick;Right;Horizontal;0;Vertical;0
25160;Joystick;Left;Horizontal;0;Vertical;0
25160;Joystick;Right;Horizontal;0;Vertical;0
25180;Joystick;Left;Horizontal;0;Vertical;0
25180;Joystick;Right;Horizontal;0;Vertical;0
25200;Joystick;Left;Horizontal;0;Vertical;0
25200;Joystick;Right;Horizontal;0;Vertical;0
