1,530804E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
3964,954;InputEnter;Name;x
7013,219;InputEnter;Number;123
13242,29;InputEnter;Name;xyz
13341,79;ButtonClick;WithoutAffectiveLoop
13358,35;Scene;Load;1
14471,75;KeyPress;U
14488,79;Scene;Load;3
15254,29;KeyPress;T
18567,62;Player;Starting;Range;100
18567,62;Player;Starting;TimeBetweenBullets;0,2
18567,62;Player;Starting;DamagerPerShot;15
18567,62;Player;Starting;SuperPower;100
18567,62;Player;Starting;Health;100
18567,62;Scene;Load;4
28549,59;Enemy;0;RegularSpawn;AtSpawnPoint;1
33429,7;Player;Health;DecreaseTo;90
33545,07;Enemy;0;RegularSpawn;AtSpawnPoint;1
34340,36;Player;Health;DecreaseTo;80
35251,44;Player;Health;DecreaseTo;70
35251,44;Slider;Health;DecreaseTo;80
36162,6;Player;Health;DecreaseTo;60
37074,32;Player;Health;DecreaseTo;50
37074,32;Slider;Health;DecreaseTo;60
37981,63;Player;Health;DecreaseTo;40
38549,29;Enemy;0;RegularSpawn;AtSpawnPoint;1
38897,6;Player;Health;DecreaseTo;30
38897,6;Slider;Health;DecreaseTo;40
39491,06;Player;Health;DecreaseTo;20
39810,83;Player;Health;DecreaseTo;10
39810,83;Slider;Health;DecreaseTo;20
40392,66;Player;Health;DecreaseTo;0
40392,66;Player;Death
60398,28;Player;Health;IncreaseTo;10
60398,28;Player;Health;DecreaseTo;0
62787,02;KeyPress;B
62803,39;Scene;Load;12
