1,530632E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
5926,81;InputEnter;Name;PABLO
18219,28;InputEnter;Number;080
18286,18;ButtonClick;Polish
19047,63;ButtonClick;WithAffectiveLoop
19312,69;BITalino;StartReading
79258,33;Scene;Load;1
79258,33;BackgroundMusic;Start
94537,21;ButtonClick;Next
97138,17;ButtonClick;Next
100567,5;ButtonClick;Next
105123,3;ButtonClick;Next
108121,9;ButtonClick;Next
111850,1;ButtonClick;Next
113954,5;ButtonClick;Play
117267,4;Player;Starting;Health;100
117267,4;Player;Starting;Range;100
117267,4;Player;Starting;TimeBetweenBullets;0,2
117267,4;Player;Starting;DamagerPerShot;15
117267,4;Player;Starting;SuperPower;100
118248,2;Alert;Lvl0Index;0
124758,9;Alert;Lvl0Index;1
131270;Alert;Lvl0Index;2
131270;Scene;Load;2
137780,5;Alert;Lvl0Index;3
144291,3;Alert;Lvl0Index;4
150803,5;Alert;Lvl0Index;5
157316,2;Alert;Lvl0Index;6
163831,4;Alert;Lvl0Index;7
170338,1;Alert;Lvl0Index;8
176850,6;Alert;Lvl0Index;9
180263,8;Enemy;DeathBy;Gun
180777,4;TextScore;ChangeTo;KIEPSKO
183350,8;Alert;Lvl0Index;10
183699,3;Enemy;DeathBy;Gun
184212,8;TextScore;ChangeTo;PRZYZWOICIE
187783,7;Enemy;DeathBy;Gun
188296,8;TextScore;ChangeTo;WSPANIALE
189844;Alert;Lvl0Index;11
193753,3;Enemy;DeathBy;Gun
194266,8;TextScore;ChangeTo;FANTASTYCZNIE
196352,1;Alert;Lvl0Index;12
202881,1;Alert;Lvl0Index;13
204356,3;Enemy;DeathBy;Gun
209392,1;Alert;Lvl0Index;14
215893,7;Alert;Lvl0Index;15
222405,5;Alert;Lvl0Index;16
232295,9;Scene;Load;3
234816,9;ButtonClick;Next
235115,1;ButtonClick;Next
236208,6;ButtonClick;Previous
239588;ButtonClick;Next
246330,6;ButtonClick;Next
248434,6;ButtonClick;Next
256005,6;ButtonClick;Play
259318,9;Player;Starting;Range;100
259318,9;Player;Starting;TimeBetweenBullets;0,2
259318,9;Player;Starting;DamagerPerShot;15
259318,9;Player;Starting;SuperPower;100
259318,9;Player;Starting;Health;100
259318,9;Scene;Load;4
269316,1;Enemy;0;RegularSpawn;AtSpawnPoint;1
274308,1;Enemy;0;RegularSpawn;AtSpawnPoint;2
277530,1;Enemy;DeathBy;Gun
279302,7;Enemy;0;RegularSpawn;AtSpawnPoint;1
283764;Enemy;DeathBy;Gun
289309,8;Enemy;0;RegularSpawn;AtSpawnPoint;0
294243;Enemy;DeathBy;Gun
294309,6;Enemy;0;RegularSpawn;AtSpawnPoint;0
297879,1;Enemy;DeathBy;Gun
299303,3;Enemy;0;RegularSpawn;AtSpawnPoint;0
306246,9;Enemy;DeathBy;Gun
309303,1;Enemy;0;RegularSpawn;AtSpawnPoint;0
314304,1;Enemy;0;RegularSpawn;AtSpawnPoint;2
316076,7;Enemy;DeathBy;Gun
319078,6;Enemy;DeathBy;Gun
319315,5;AffectiveSpawn;SpawnMax;SetTo;0
319315,5;Enemy;0;RegularSpawn;AtSpawnPoint;0
319381,5;AffectiveSpawn;NotActive;Sum;0
324324;AffectiveSpawn;SpawnMax;SetTo;0
324456,4;AffectiveSpawn;NotActive;Sum;0
324655,3;Enemy;DeathBy;Gun
327427,6;Enemy;DeathBy;Gun
327942,9;TextScore;ChangeTo;KIEPSKO
329306,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
329340,2;AffectiveSpawn;SpawnMax;SetTo;0
329538,8;AffectiveSpawn;NotActive;Sum;0
333408,8;Enemy;DeathBy;Gun
334303,3;Enemy;0;RegularSpawn;AtSpawnPoint;2
334353,1;AffectiveSpawn;SpawnMax;SetTo;0
334618,2;AffectiveSpawn;NotActive;Sum;0
339313;Enemy;0;RegularSpawn;AtSpawnPoint;0
339363;AffectiveSpawn;SpawnMax;SetTo;0
340690,2;Enemy;DeathBy;Gun
344371,1;AffectiveSpawn;SpawnMax;SetTo;0
344553,4;Enemy;DeathBy;Gun
349310,7;Alert;Enemy;SpeedAdjust
349310,7;Enemy;Speed;ChangeTo;2,012942
349310,7;Enemy;0;RegularSpawn;AtSpawnPoint;0
349383,1;AffectiveSpawn;SpawnMax;SetTo;0
351312,1;Enemy;Speed;ChangeTo;2,013008
353319,7;Enemy;Speed;ChangeTo;2,013033
354302,9;Enemy;0;RegularSpawn;AtSpawnPoint;0
354385,8;AffectiveSpawn;SpawnMax;SetTo;0
355330;Enemy;Speed;ChangeTo;2,014108
357339,4;Enemy;Speed;ChangeTo;2,015024
359304,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
359354,4;Enemy;Speed;ChangeTo;2,014489
359387,6;AffectiveSpawn;SpawnMax;SetTo;0
361369,7;Enemy;Speed;ChangeTo;2,014436
363376,8;Enemy;Speed;ChangeTo;2,016951
363791,2;Enemy;DeathBy;Gun
364389,5;AffectiveSpawn;SpawnMax;SetTo;0
365387;Enemy;Speed;ChangeTo;2,018891
367394,1;Enemy;Speed;ChangeTo;2,019068
368057,2;Enemy;DeathBy;Gun
369303,9;Enemy;0;RegularSpawn;AtSpawnPoint;1
369403,7;AffectiveSpawn;SpawnMax;SetTo;0
369403,7;Enemy;Speed;ChangeTo;2,018197
370629,3;Enemy;DeathBy;Gun
371410,2;Enemy;Speed;ChangeTo;2,020236
373419,5;Enemy;Speed;ChangeTo;2,023433
374315,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
374415,2;AffectiveSpawn;SpawnMax;SetTo;0
374865,1;Enemy;DeathBy;Gun
375428,3;Enemy;Speed;ChangeTo;2,026286
377433,5;Enemy;Speed;ChangeTo;2,026896
379303,3;Enemy;0;RegularSpawn;AtSpawnPoint;1
379386,2;AffectiveSpawn;NotActive;Sum;0
379419,3;AffectiveSpawn;SpawnMax;SetTo;0
379436,6;Enemy;Speed;ChangeTo;2,030787
381449,8;Enemy;Speed;ChangeTo;2,040663
383461,8;Enemy;Speed;ChangeTo;2,04401
384423,9;AffectiveSpawn;SpawnMax;SetTo;0
384457,1;AffectiveSpawn;NotActive;Sum;0
385471,3;Enemy;Speed;ChangeTo;2,04025
387446;Enemy;DeathBy;Gun
387479,4;Enemy;Speed;ChangeTo;2,034229
387959,8;TextScore;ChangeTo;PRZYZWOICIE
389303,4;Enemy;0;RegularSpawn;AtSpawnPoint;1
389429,4;AffectiveSpawn;SpawnMax;SetTo;0
389479,8;Enemy;Speed;ChangeTo;2,030732
391484,4;Enemy;Speed;ChangeTo;2,038152
392811,9;Enemy;DeathBy;Gun
393499,5;Enemy;Speed;ChangeTo;2,03535
394311,3;Enemy;0;RegularSpawn;AtSpawnPoint;0
394434,3;AffectiveSpawn;SpawnMax;SetTo;0
395511,1;Enemy;Speed;ChangeTo;2,028592
396024,7;Enemy;DeathBy;Gun
397514,1;Enemy;Speed;ChangeTo;2,022315
399315,3;Enemy;0;RegularSpawn;AtSpawnPoint;2
399448,2;AffectiveSpawn;SpawnMax;SetTo;0
399514,2;Enemy;Speed;ChangeTo;2,021685
401518,3;Enemy;Speed;ChangeTo;2,021331
403529,3;Enemy;Speed;ChangeTo;2,020697
404448,8;AffectiveSpawn;SpawnMax;SetTo;0
405534,3;Enemy;Speed;ChangeTo;2,018647
407546,5;Enemy;Speed;ChangeTo;2,017925
409306,8;Enemy;0;RegularSpawn;AtSpawnPoint;0
409455,9;AffectiveSpawn;SpawnMax;SetTo;0
409555,3;Enemy;Speed;ChangeTo;2,017227
411570,1;Enemy;Speed;ChangeTo;2,015769
413581,2;Enemy;Speed;ChangeTo;2,015261
414300,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
414466,4;AffectiveSpawn;SpawnMax;SetTo;0
415593;Enemy;Speed;ChangeTo;2,015753
417599,9;Enemy;Speed;ChangeTo;2,015369
418759,8;Enemy;DeathBy;Gun
419306,3;Enemy;0;RegularSpawn;AtSpawnPoint;1
419471,9;AffectiveSpawn;SpawnMax;SetTo;0
