1,530555E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
10285,03;InputEnter;Name;Jeremiasz
14592,36;InputEnter;Number;011
14658,63;ButtonClick;WithoutAffectiveLoop
14675,19;Scene;Load;1
14675,19;BackgroundMusic;Start
22763,16;ButtonClick;Next
30019,57;ButtonClick;Next
41897,65;ButtonClick;Next
50730,03;ButtonClick;Next
60441,78;ButtonClick;Next
68161,47;ButtonClick;Next
101239,9;ButtonClick;Play
104553,1;Player;Starting;Health;100
104553,1;Player;Starting;Range;100
104553,1;Player;Starting;TimeBetweenBullets;0,2
104553,1;Player;Starting;DamagerPerShot;15
104553,1;Player;Starting;SuperPower;100
105534;Alert;Lvl0Index;0
112035,2;Alert;Lvl0Index;1
118546,5;Alert;Lvl0Index;2
118546,5;Scene;Load;2
125048,6;Alert;Lvl0Index;3
131559,3;Alert;Lvl0Index;4
138074,4;Alert;Lvl0Index;5
144584,8;Alert;Lvl0Index;6
151100;Alert;Lvl0Index;7
157602,1;Alert;Lvl0Index;8
164112,8;Alert;Lvl0Index;9
166217,2;Enemy;DeathBy;Gun
166730,3;TextScore;ChangeTo;POORLY
170628,5;Alert;Lvl0Index;10
177143,9;Alert;Lvl0Index;11
177244,3;Enemy;DeathBy;Gun
177756,8;TextScore;ChangeTo;DECENTLY
183655,1;Alert;Lvl0Index;12
190154,6;Alert;Lvl0Index;13
196665,2;Alert;Lvl0Index;14
197327,8;Enemy;DeathBy;Gun
197841,4;TextScore;ChangeTo;GREAT
201176,1;Enemy;DeathBy;Gun
201689,7;TextScore;ChangeTo;FANTASTIC
203181,2;Alert;Lvl0Index;15
204191,3;Enemy;DeathBy;Gun
209682,1;Alert;Lvl0Index;16
219583;Scene;Load;3
230056,6;ButtonClick;Next
240180,4;ButtonClick;Next
249195,2;ButtonClick;Next
254364,1;ButtonClick;Next
274495,8;ButtonClick;Play
277811,7;Player;Starting;Range;100
277811,7;Player;Starting;TimeBetweenBullets;0,2
277811,7;Player;Starting;DamagerPerShot;15
277811,7;Player;Starting;SuperPower;100
277811,7;Player;Starting;Health;100
277811,7;Scene;Load;4
287792,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
292793,2;Enemy;0;RegularSpawn;AtSpawnPoint;2
297787,3;Enemy;0;RegularSpawn;AtSpawnPoint;2
298201,4;Enemy;DeathBy;Gun
300570,4;Enemy;DeathBy;Gun
302724,1;Enemy;DeathBy;Gun
307784,2;Enemy;0;RegularSpawn;AtSpawnPoint;0
312788,1;Enemy;0;RegularSpawn;AtSpawnPoint;0
317791,4;Enemy;0;RegularSpawn;AtSpawnPoint;1
327786,9;Enemy;0;RegularSpawn;AtSpawnPoint;1
332790,1;Enemy;0;RegularSpawn;AtSpawnPoint;2
332823,2;Alert;NonAffectiveSpawn;Activation
337788,3;Enemy;0;RegularSpawn;AtSpawnPoint;2
338500,7;Enemy;DeathBy;Gun
344783,3;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
347782,4;Enemy;0;RegularSpawn;AtSpawnPoint;2
348444,5;Enemy;DeathBy;Gun
350382,8;Enemy;DeathBy;Gun
351794,3;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;0
352788,3;Enemy;0;RegularSpawn;AtSpawnPoint;1
352954;Enemy;DeathBy;Gun
354885,9;Enemy;DeathBy;Gun
357663,5;Enemy;DeathBy;Gun
357796,1;Enemy;0;RegularSpawn;AtSpawnPoint;2
358792;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;0
360003,7;Enemy;DeathBy;Gun
360524,1;TextScore;ChangeTo;POORLY
364048,4;Enemy;DeathBy;Gun
365789,9;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
366403,2;Enemy;DeathBy;Gun
367784;Enemy;0;RegularSpawn;AtSpawnPoint;2
367817,1;Alert;Enemy;SpeedChange
367817,1;Enemy;Speed;ChangeTo;3,03
369593,7;Enemy;DeathBy;Gun
369826,9;Enemy;Speed;ChangeTo;3,06
371835,7;Enemy;Speed;ChangeTo;3,09
372614,3;Enemy;DeathBy;Gun
372780,6;Enemy;0;RegularSpawn;AtSpawnPoint;2
372780,6;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;5
373840,8;Enemy;Speed;ChangeTo;3,12
374969,1;Enemy;DeathBy;Gun
375850,8;Enemy;Speed;ChangeTo;3,15
377788,6;Enemy;0;RegularSpawn;AtSpawnPoint;1
377855,6;Enemy;Speed;ChangeTo;3,18
379677;Enemy;DeathBy;Gun
379793;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;1
379859,3;Enemy;Speed;ChangeTo;3,21
381860,6;Enemy;Speed;ChangeTo;3,24
383550,3;Enemy;DeathBy;Gun
383865;Enemy;Speed;ChangeTo;3,27
385869,6;Enemy;Speed;ChangeTo;3,3
386780,8;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;1
387427;Enemy;DeathBy;Gun
387791,6;Enemy;0;RegularSpawn;AtSpawnPoint;1
387874,2;Enemy;Speed;ChangeTo;3,33
389787;Enemy;DeathBy;Gun
389886,4;Enemy;Speed;ChangeTo;3,36
390300,6;TextScore;ChangeTo;DECENTLY
391510;Enemy;DeathBy;Gun
391891;Enemy;Speed;ChangeTo;3,39
392785,9;Enemy;0;RegularSpawn;AtSpawnPoint;2
392818,7;Alert;NonAffectiveSpawn;Activation
393663,6;Enemy;DeathBy;Gun
393796,4;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;2
393895,7;Enemy;Speed;ChangeTo;3,42
395900,3;Enemy;Speed;ChangeTo;3,45
396248,2;Enemy;DeathBy;Gun
397791,8;Enemy;0;RegularSpawn;AtSpawnPoint;0
397907,7;Enemy;Speed;ChangeTo;3,48
399916,1;Enemy;Speed;ChangeTo;3,51
400794,2;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;2
400794,2;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;2
400943,7;Player;Health;DecreaseTo;90
401258,1;Player;Health;DecreaseTo;80
401572,8;Player;Health;DecreaseTo;70
401572,8;Slider;Health;DecreaseTo;80
401920,9;Enemy;Speed;ChangeTo;3,539999
402740,9;Enemy;DeathBy;Gun
403935;Enemy;Speed;ChangeTo;3,569999
405940,1;Enemy;Speed;ChangeTo;3,599999
405973;Enemy;DeathBy;Gun
407700;Enemy;DeathBy;Gun
407782,9;Enemy;0;RegularSpawn;AtSpawnPoint;2
407782,9;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;3
407782,9;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;4
407948,5;Enemy;Speed;ChangeTo;3,629999
409638,5;Enemy;DeathBy;Gun
409953,8;Enemy;Speed;ChangeTo;3,659999
411957,8;Enemy;Speed;ChangeTo;3,689999
412007,6;Enemy;DeathBy;Gun
412521,2;TextScore;ChangeTo;GREAT
412786,2;Enemy;0;RegularSpawn;AtSpawnPoint;0
413432,3;Player;Health;DecreaseTo;60
413962,6;Enemy;Speed;ChangeTo;3,719999
414782,1;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;1
414782,1;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;0
415966,8;Enemy;Speed;ChangeTo;3,749999
416083,2;Enemy;DeathBy;Gun
417788,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
417975,2;Enemy;Speed;ChangeTo;3,779999
419503,3;Enemy;DeathBy;Gun
419983,7;Enemy;Speed;ChangeTo;3,809999
421793,9;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;2
421793,9;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;2
421997,8;Enemy;Speed;ChangeTo;3,839999
423680,8;Player;Health;DecreaseTo;50
423680,8;Slider;Health;DecreaseTo;60
424012,8;Enemy;Speed;ChangeTo;3,869999
426022,6;Enemy;Speed;ChangeTo;3,899999
427789,5;Enemy;0;RegularSpawn;AtSpawnPoint;1
428038,8;Enemy;Speed;ChangeTo;3,929999
428790,8;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;1
428790,8;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;2
429825,5;Enemy;DeathBy;Gun
430040,9;Enemy;Speed;ChangeTo;3,959999
432053,9;Enemy;Speed;ChangeTo;3,989999
432570;Enemy;DeathBy;Gun
432785,5;Enemy;0;RegularSpawn;AtSpawnPoint;0
434060,1;Enemy;Speed;ChangeTo;4,019999
435785,8;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;1
435785,8;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;3
436074,6;Enemy;Speed;ChangeTo;4,049999
437795,5;Enemy;0;RegularSpawn;AtSpawnPoint;2
437878,9;Enemy;DeathBy;Gun
438077,9;Enemy;Speed;ChangeTo;4,079999
439373,6;Enemy;DeathBy;Gun
440089,4;Enemy;Speed;ChangeTo;4,11
441924,4;Enemy;DeathBy;Gun
442090,3;Enemy;Speed;ChangeTo;4,14
442785,7;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;3
442785,7;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
443216,5;Enemy;DeathBy;Gun
443696,8;Player;Health;IncreaseTo;60
443696,8;Slider;Health;IncreaseTo;80
444078,3;Enemy;DeathBy;Gun
444096,9;Enemy;Speed;ChangeTo;4,17
445356;Enemy;DeathBy;Gun
445870,1;TextScore;ChangeTo;FANTASTIC
446101,8;Enemy;Speed;ChangeTo;4,2
